,Unnamed: 0,player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Was_dribble,Blocks,OwnGoal,key_pass_per_game,dribble_won_per_game,foul_given_game,offside_given_per_game,dispossessed_per_game,turnover_per_game,average_per_pass,corsses_per_game,longpass_per_game,through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot
67,67,Rodrigo De Paul,,29," AM(CLR),FW",24(6),1935,2,7,5,0,0.7,84.2,0.2,2,6.81,1.2,0.3,1.1,0,0.1,0.6,0.1,0,1.6,0.5,1.6,0,0.5,1.1,44.9,0.4,3.3,0.3,1.47,0.53,0.07,21,0.07
68,68,Pau Torres,,27, D(C),34,3055,1,0,10,0,0.4,85.3,1.7,1,6.8,1.3,0.4,0.6,0.6,4.1,0.4,0.8,1,0.4,0.8,0.5,0,0.1,0.6,63.6,0,5.4,0.1,2.47,-1.47,0.07,12,0.21
69,69,Adri Embarba,,31," AM(CLR),FW",18(11),1477,4,3,3,1,1.7,74.8,0.3,3,6.8,1.7,0.3,0.8,0,0.2,0.8,0,0,1.1,1.6,1,0.3,1.1,1.7,14.5,1.2,0.8,0,3.82,0.18,0.23,48,0.08
70,70,Yuri Berchiche,,34," D(L),M(L)",27(2),2408,1,1,7,1,1.0,84.1,1.8,1,6.79,1.9,1.4,1.1,0.4,1.7,0.9,0.4,0,0.7,0.4,1.1,0.2,0.5,0.8,42.8,0.5,2.6,0,0.96,0.04,0.04,28,0.03
71,71,Yeray Álvarez,,29, D(C),27(1),2337,1,1,7,1,0.3,81.1,2.0,1,6.79,1.2,1.7,0.8,0.4,3.6,0.3,0.5,0,0.5,0.2,0.8,0,0,0.3,49.2,0.1,4.3,0.1,0.66,0.34,0.03,8,0.08
72,72,Nahuel Molina,,26," D(R),M(R)",33,2872,4,2,7,1,0.6,79.4,0.7,0,6.79,2.1,0.5,0.7,0.1,1.4,1.6,0.2,0,1.2,0.6,0.5,0.1,0.3,1,45.7,0.7,1.7,0.1,2.73,1.27,0.09,21,0.13
73,73,Lucas Boyé,,28," AM(L),FW",29(6),2475,7,2,7,1,2.1,79.7,1.4,4,6.79,1,0.4,1.7,0,1.3,0.5,0.1,0,0.8,2.2,1.3,0.4,2.4,4,18,0.2,0.5,0.1,8.7,-1.7,0.32,72,0.12
74,74,Iza Carcelén,,31, D(R),25(2),2204,0,1,4,3,0.3,80.9,0.8,0,6.79,2.6,0.7,0.6,0.4,2.5,0.8,0.4,0,0.6,0.5,1,0.1,0.7,0.7,27.5,0.8,1.5,0,0.2,-0.2,0.01,7,0.03
75,75,Eduardo Camavinga,,21," D(L),DMC",21(16),2003,0,1,6,0,0.5,91.2,0.6,0,6.78,1.8,0.5,1.1,0.1,0.5,1.1,0.1,0,0.6,1,1.9,0.1,0.8,1.1,38.3,0,1.4,0.1,0.83,-0.83,0.04,18,0.05
76,76,Youssouf Sabaly,,31," D(LR),M(R)",19(4),1681,1,1,2,0,0.5,83.1,0.2,0,6.78,2,0.8,0.9,0.4,2,0.5,0.3,0,0.5,0.8,1.4,0.1,1.1,1.1,33.5,0,0.7,0,0.41,0.59,0.02,12,0.03
77,77,Pablo Maffeo,,26," D(LR),M(R)",34(1),2980,2,4,6,1,0.6,70.9,1.4,3,6.78,2.1,0.7,0.9,0.1,1.7,0.9,0.3,0,1,1,1.3,0.1,1,1.8,24.3,0.7,1.4,0.1,1.67,0.33,0.05,21,0.08
78,78,Marcos Acuña,,32," D(CL),M(CL)",21(9),1917,3,2,9,3,0.7,80.6,1.0,1,6.78,1.9,0.8,1.1,0.2,1.1,0.4,0.2,0,1.3,0.9,1.1,0,0.7,1,32.8,1.4,2.4,0,0.89,2.11,0.04,21,0.04
79,79,Santi Comesaña,,27, M(C),29(6),2470,3,2,6,0,0.7,83.8,0.9,1,6.77,2,0.9,1.4,0,0.4,1.3,0.1,0,1.2,1,0.8,0.1,1,1.1,34.8,0.1,1.7,0,2.76,0.24,0.1,25,0.11
