player_name,team_name,Total_Passes,AccLB,InAccLB,AccSP,InAccSP
Adrià Pedrosa,Espanyol,8.7,0.1,0.4,7.1,1
Óscar Gil,Espanyol,21.7,1,1.7,15.8,3.1
César de la Hoz,Almeria,21.9,1.5,1.6,15.8,3
Roque Mesa,Real Valladolid,31.4,3,2.1,23.2,3.2
Fidel,Elche,30.6,1.6,1.1,21.1,6.7
Dimitri Foulquier,Valencia,21.6,1,1.8,14.8,4
Rafa Mir,Sevilla,9.8,0.1,0.2,6.7,2.8
Iddrisu Baba,Mallorca,20,1.5,1.1,14.9,2.5
Matija Nastasic,Mallorca,21,1.9,2.3,15,1.8
Manu Vallejo,Girona,11.6,0.1,0,9.3,2.1
Bernardo Espinosa,Girona,45.5,1.4,2.2,39.1,2.8
Dennis Hadzikadunic,Mallorca,22.1,1.6,2.1,15.5,2.9
Renato Tapia,Celta Vigo,28.3,2.8,1.9,21.6,2.1
Manuel Pozo,Real Valladolid,6,0,0,5,1
Tino Kadewere,Mallorca,9.4,0.2,0.2,6.1,2.9
Joseba Zaldúa,Cadiz,21.4,1.1,2.4,13.9,4
Tanguy Nianzou,Sevilla,40.4,1.4,1.6,34.2,3.3
Pablo Ibáñez,Osasuna,15.1,0.8,0.8,10.4,3.2
Helibelton Palacios,Elche,28,1,2.7,20.6,3.7
Ander Herrera,Athletic Club,26.2,0.8,0.9,21.4,3.2
Jon Olasagasti,Real Sociedad,16,0.7,0.3,12.3,2.7
Victor Chust,Cadiz,31.1,4.1,2.8,21.8,2.4
Nico Melamed,Espanyol,12.6,0.3,0.3,10.3,1.7
Fernando Medrano,Celta Vigo,3,0,0,3,0
Juan Cruz,Osasuna,28.7,1.1,1.4,22,4.1
José Ángel Carmona,Elche,16.3,0.4,0.8,11.3,3.8
Sergio Asenjo,Real Valladolid,30.6,6.8,11.4,12,0.4
José Carlos Lazo,Espanyol,2.9,0,0.3,2.3,0.3
Gonzalo Montiel,Sevilla,24.2,0.8,1.3,18.8,3.4
Hugo Sotelo,Celta Vigo,23,0,1,20,2
Unai López,Rayo Vallecano,25.3,2.3,1.2,19,2.7
Joan Jordán,Sevilla,47.1,3.7,1.5,38,3.9
