player_name,team_name,Total_Saves,SixYardBox_Saves,PenaltyArea_Saves,OutOfBox_Saves
Casemiro,Real Madrid,0,0,0,0
Maxi Gómez,Valencia,0,0,0,0
Pablo Muñoz,Rayo Vallecano,0,0,0,0
Sergio Arribas,Real Madrid,0,0,0,0
Domingos Quina,Elche,0,0,0,0
Rubén Quintanilla,Mallorca,0,0,0,0
Unai Vencedor,Athletic Club,0,0,0,0
Youba Diarra,Cadiz,0,0,0,0
Fran Pérez,Valencia,0,0,0,0
Álex Revuelta,Getafe,0,0,0,0
Arnau Tenas,Barcelona,0,0,0,0
Chadi Riad,Barcelona,0,0,0,0
Diego Méndez,Rayo Vallecano,0,0,0,0
Esteban Saveljich,Rayo Vallecano,0,0,0,0
Pedro Ortiz,Sevilla,0,0,0,0
Mario Hernández,Rayo Vallecano,0,0,0,0
Alberto del Moral,Villarreal,0,0,0,0
Marezi,Almeria,0,0,0,0
Awer Mabil,Cadiz,0,0,0,0
Antonio Gomis,Atletico Madrid,0,0,0,0
Tunde Akinsola,Real Valladolid,0,0,0,0
Mario Suárez,Rayo Vallecano,0,0,0,0
Pol Lozano,Espanyol,0,0,0,0
Fer Niño,Villarreal,0,0,0,0
Alejandro Alfaro,Elche,0,0,0,0
