player_name,team_name,Total_Shots,OutOfBox_Shots,SixYardBox_Shots,PenaltyArea_Shots
Rob Holding,Arsenal,0.4,0,0,0.4
Tom Cairney,Fulham,0.6,0.2,0,0.4
Chris Wood,Nottingham Forest,0.4,0,0.1,0.3
Elliot Anderson,Newcastle,0.5,0.1,0,0.4
Sam Greenwood,Leeds,0.7,0.6,0,0.1
Daniel Iversen,Leicester,0,0,0,0
Nathaniel Clyne,Crystal Palace,0,0,0,0
Chris Wood,Newcastle,0.5,0,0,0.5
Armando Broja,Chelsea,0.5,0,0,0.5
Yves Bissouma,Tottenham,0.3,0.3,0,0
Harry Toffolo,Nottingham Forest,0.3,0.1,0,0.2
Darko Gyabi,Leeds,1,0,0,1
Facundo Buonanotte,Brighton,0.8,0.3,0.1,0.5
Albert Sambi Lokonga,Arsenal,0,0,0,0
Jack Colback,Nottingham Forest,0,0,0,0
Oriol Romeu,Southampton,0,0,0,0
Sékou Mara,Southampton,0.8,0.2,0,0.6
Adam Armstrong,Southampton,0.8,0.3,0,0.5
Daniel James,Fulham,0.7,0.1,0.1,0.6
Christian Pulisic,Chelsea,0.8,0.3,0,0.5
Will Hughes,Crystal Palace,0.2,0.1,0,0.1
Kalvin Phillips,Manchester City,0.5,0.3,0,0.2
Siriki Dembélé,Bournemouth,0.3,0.2,0,0.2
Adam Forshaw,Leeds,0.1,0.1,0,0
Anthony Elanga,Manchester United,0.6,0,0.1,0.6
Jan Paul van Hecke,Brighton,0.3,0.1,0.1,0
Carney Chukwuemeka,Chelsea,0.4,0.1,0,0.3
Kieran Tierney,Arsenal,0.3,0.1,0,0.1
Anthony Gordon,Newcastle,0.5,0.1,0.1,0.3
Boubacar Traoré,Wolves,0.3,0.3,0,0
Georginio Rutter,Leeds,0.4,0.1,0,0.3
Keane Lewis-Potter,Brentford,0.7,0.1,0,0.6
Diego Costa,Wolves,1.2,0,0.1,1.1
Sergio Gómez,Manchester City,0.6,0.4,0,0.2
Ryan Fraser,Newcastle,0.8,0.4,0.1,0.3
Kevin Mbabu,Fulham,0,0,0,0
Arnaut Danjuma,Tottenham,0.7,0,0,0.7
Illia Zabarnyi,Bournemouth,0,0,0,0
Shandon Baptiste,Brentford,0.2,0,0,0.2
Marek Rodák,Fulham,0,0,0,0
Sasa Kalajdzic,Wolves,1,0,1,0
Giulian Biancone,Nottingham Forest,0,0,0,0
Ibrahima Diallo,Southampton,0.3,0.3,0,0
Tariq Lamptey,Brighton,0.3,0.2,0,0.1
Neal Maupay,Everton,1.2,0.4,0.3,0.6
Rúben Vinagre,Everton,0,0,0,0
Gustavo Scarpa,Nottingham Forest,1.2,1.2,0,0
Dennis Praet,Leicester,0.2,0,0,0.2
Javier Manquillo,Newcastle,0,0,0,0
Luka Milivojevic,Crystal Palace,0.4,0.4,0,0
Donny van de Beek,Manchester United,0.3,0,0,0.3
Facundo Pellistri,Manchester United,0,0,0,0
Emile Smith Rowe,Arsenal,0.3,0.2,0,0.2
Thomas Cannon,Everton,0.5,0,0,0.5
Antoine Semenyo,Bournemouth,0.3,0,0,0.3
Japhet Tanganga,Tottenham,0,0,0,0
Sasa Lukic,Fulham,0.4,0.4,0,0
Pape Sarr,Tottenham,0.2,0.2,0,0
Jean-Philippe Mateta,Crystal Palace,0.9,0.1,0.1,0.7
Joe Gelhardt,Leeds,0.7,0.2,0,0.5
Yasin Ayari,Brighton,0.3,0.3,0,0
Jesse Lingard,Nottingham Forest,0.6,0.3,0,0.3
