player_name,team_name,Total_Passes,AccLB,InAccLB,AccSP,InAccSP
Scott McTominay,Manchester United,17.8,0.8,0.3,14,2.7
Adama Traoré,Wolves,12.1,0.3,0.2,8.7,2.9
César Azpilicueta,Chelsea,35.9,0.5,1.5,29.6,4.4
Matías Viña,Bournemouth,12.1,0.3,0.6,8.5,2.7
Yoane Wissa,Brentford,8.6,0.2,0.4,6,2
Rayan Aït-Nouri,Wolves,22.6,0.3,0.9,18.1,3.2
Gianluca Scamacca,West Ham,10.9,0.8,0.2,6.6,3.4
Jack Stephens,Bournemouth,36,2.3,3.1,27.3,3.3
Cody Drameh,Leeds,31,1,1,23,6
Nathan Patterson,Everton,24.8,0.6,1.5,19.2,3.5
João Moutinho,Wolves,31.9,1.6,0.8,25.2,4.3
Taiwo Awoniyi,Nottingham Forest,8.1,0,0.2,5.2,2.7
Daniel Podence,Wolves,18.5,0.8,0.6,12.2,4.9
Joël Matip,Liverpool,62.8,2.6,2.2,51.9,6.1
Morgan Gibbs-White,Wolves,43,1,0.5,35,6.5
Thilo Kehrer,West Ham,36.8,1.7,1.7,29.8,3.7
Marc Roca,Leeds,37.8,2.1,2.2,27.9,5.6
Nélson Semedo,Wolves,33.6,1,1.8,26.4,4.3
Ainsley Maitland-Niles,Southampton,28.4,1.2,1.5,21.8,3.9
Harrison Reed,Fulham,32.9,1.2,1.4,25.1,5.3
Carlos Alcaraz,Southampton,15.7,0.3,0.4,11.9,3
Wilfred Ndidi,Leicester,33.1,0.8,1.2,27,4.1
Michail Antonio,West Ham,9.2,0.2,0.3,5.2,3.6
Matthew Craig,Tottenham,6,0,0,5,1
Boubakary Soumaré,Leicester,34.6,1.2,0.6,28.6,4.2
Jordan Zemura,Bournemouth,24,0.6,1.4,16.1,5.9
Brennan Johnson,Nottingham Forest,11.6,0.1,0.4,7.2,3.9
Mohamed Elyounoussi,Southampton,17.6,0.6,0.6,11.5,4.8
Jonny Evans,Leicester,60.5,3.6,3.2,49.4,4.4
David Datro Fofana,Chelsea,2.7,0.3,0,2,0.3
Nathan Collins,Wolves,43.4,2.6,2.2,35.7,3
Tetê,Leicester,18.2,0.9,0.5,13.1,3.7
Fred,Manchester United,21.8,0.9,0.9,16.7,3.3
Moussa Niakhaté,Nottingham Forest,21.4,1.1,2.2,15.1,2.9
Abdoulaye Doucouré,Everton,21.5,0.1,0.4,17,4
Kostas Tsimikas,Liverpool,22.2,0.9,0.6,18.1,2.7
Mateo Kovacic,Chelsea,48.5,1.7,1.6,40,5.2
