player_name,team_name,Fouled,Fouls
Djed Spence,Tottenham,0,0
Joe Hodge,Wolves,0.2,0.3
Emiliano Marcondes,Bournemouth,1,0
Jamal Lowe,Bournemouth,0,0
Cameron Archer,Aston Villa,0.2,0.3
Alex McCarthy,Southampton,0.2,0
Josh Onomah,Fulham,0,0
Luke Harris,Fulham,0,0.3
Dom Ballard,Southampton,0,0
Odeluga Offiah,Brighton,0,0
Dele Alli,Everton,0.5,0
Alex Mighten,Nottingham Forest,1,0
Jamal Lewis,Newcastle,0,0
Máximo Perrone,Manchester City,0,0
Kamari Doyle,Southampton,0,0
Owen Bevan,Bournemouth,0,0
Nathaniel Chalobah,Fulham,0,0.5
Dexter Lembikisa,Wolves,0,0
Cameron Peupion,Brighton,0,0
Andrew Moran,Brighton,0,0
Shane Duffy,Fulham,0.2,0
Yan Valery,Southampton,0,0
