player_name,team_name,Total_Key passes,Long,Short
Kalvin Phillips,Manchester City,0.3,0.1,0.2
Siriki Dembélé,Bournemouth,0.7,0.2,0.5
Adam Forshaw,Leeds,0.7,0.2,0.5
Anthony Elanga,Manchester United,0.4,0,0.4
Jan Paul van Hecke,Brighton,0,0,0
Carney Chukwuemeka,Chelsea,0.6,0,0.6
Kieran Tierney,Arsenal,0.1,0,0.1
Anthony Gordon,Newcastle,0.4,0.1,0.3
Boubacar Traoré,Wolves,0.1,0,0.1
Georginio Rutter,Leeds,0.4,0,0.4
Keane Lewis-Potter,Brentford,0.5,0,0.5
Diego Costa,Wolves,0.5,0,0.5
Sergio Gómez,Manchester City,0.4,0.1,0.3
Ryan Fraser,Newcastle,0.6,0,0.6
Kevin Mbabu,Fulham,0.3,0.2,0.2
Arnaut Danjuma,Tottenham,0.1,0.1,0
Illia Zabarnyi,Bournemouth,0,0,0
Shandon Baptiste,Brentford,0.4,0,0.4
Marek Rodák,Fulham,0,0,0
Sasa Kalajdzic,Wolves,0,0,0
Giulian Biancone,Nottingham Forest,0,0,0
Ibrahima Diallo,Southampton,0.2,0,0.2
Tariq Lamptey,Brighton,0.2,0,0.2
Neal Maupay,Everton,0.3,0,0.3
Rúben Vinagre,Everton,0,0,0
Gustavo Scarpa,Nottingham Forest,0.2,0.2,0
Dennis Praet,Leicester,0.1,0,0.1
Javier Manquillo,Newcastle,0,0,0
Luka Milivojevic,Crystal Palace,0.1,0,0.1
Donny van de Beek,Manchester United,0.4,0,0.4
Facundo Pellistri,Manchester United,0,0,0
Emile Smith Rowe,Arsenal,0.5,0.1,0.4
Thomas Cannon,Everton,0.5,0,0.5
Antoine Semenyo,Bournemouth,0.2,0,0.2
Japhet Tanganga,Tottenham,0,0,0
Sasa Lukic,Fulham,0,0,0
Pape Sarr,Tottenham,0.2,0,0.2
Jean-Philippe Mateta,Crystal Palace,0.2,0,0.2
Joe Gelhardt,Leeds,0.1,0,0.1
Yasin Ayari,Brighton,0.7,0,0.7
Jesse Lingard,Nottingham Forest,0.6,0,0.6
Jack Stephens,Southampton,0,0,0
Ellis Simms,Everton,0.2,0,0.2
Divin Mubama,West Ham,0.3,0.3,0
Jonjo Shelvey,Nottingham Forest,0.8,0.5,0.3
Naby Keïta,Liverpool,1,0,1
Manuel Lanzini,West Ham,0.1,0,0.1
Flynn Downes,West Ham,0.1,0,0.1
James Tomkins,Crystal Palace,0,0,0
James McArthur,Crystal Palace,0,0,0
Harvey White,Tottenham,0,0,0
Ryan Fredericks,Bournemouth,0.1,0,0.1
Saman Ghoddos,Brentford,0.3,0.1,0.2
Mateusz Klich,Leeds,0.4,0,0.4
Matt Ritchie,Newcastle,0.1,0,0.1
Tom Davies,Everton,0.1,0,0.1
Pierre-Emerick Aubameyang,Chelsea,0.3,0,0.3
Mislav Orsic,Southampton,0,0,0
Omari Hutchinson,Chelsea,1,0,1
Sergi Canós,Brentford,0.2,0,0.2
Salomón Rondón,Everton,0.3,0,0.3
Calum Chambers,Aston Villa,0.1,0,0.1
Kobbie Mainoo,Manchester United,0,0,0
Jairo Riedewald,Crystal Palace,0,0,0
Chem Campbell,Wolves,0,0,0
