player_name,team_name,Yellow,Red
Scott McKenna,Nottingham Forest,0.2,0
Ben Johnson,West Ham,0,0
Matt Targett,Newcastle,0.1,0
Cheikhou Kouyaté,Nottingham Forest,0.1,0
James Bree,Southampton,0.2,0
Gonçalo Guedes,Wolves,0.1,0
Remo Freuler,Nottingham Forest,0.1,0
Pedro Neto,Wolves,0.1,0
Pablo Sarabia,Wolves,0.2,0
Theo Walcott,Southampton,0.1,0
Wout Weghorst,Manchester United,0.1,0
Ricardo Pereira,Leicester,0.2,0
Philippe Coutinho,Aston Villa,0.2,0
Fábio Carvalho,Liverpool,0,0
Ludwig Augustinsson,Aston Villa,0.3,0
Steve Cook,Nottingham Forest,0.3,0
Bertrand Traoré,Aston Villa,0.1,0
Zanka,Brentford,0.1,0
Patrick Bamford,Leeds,0.1,0
Édouard Mendy,Chelsea,0.1,0
Alejandro Garnacho,Manchester United,0.2,0
Jeremy Sarmiento,Brighton,0.1,0
Kieffer Moore,Bournemouth,0,0
Raúl Jiménez,Wolves,0,0
Jaidon Anthony,Bournemouth,0.1,0
Danny Ings,West Ham,0.1,0
Isaac Price,Everton,1,0
Mark Travers,Bournemouth,0,0
Mikkel Damsgaard,Brentford,0.2,0
Mason Holgate,Everton,0.1,0.1
Deniz Undav,Brighton,0.1,0
Cole Palmer,Manchester City,0.1,0
James Milner,Liverpool,0.1,0
Takehiro Tomiyasu,Arsenal,0.1,0
Billy Gilmour,Brighton,0.1,0
Lewis Miley,Newcastle,0,0
Jamie Vardy,Leicester,0,0
Cédric Soares,Fulham,0,0
Ben Godfrey,Everton,0.2,0
Hwang Hee-Chan,Wolves,0,0
Carlos Vinícius,Fulham,0.1,0
Jan Bednarek,Aston Villa,0,0
Adam Smith,Bournemouth,0.3,0
Alex Oxlade Chamberlain,Liverpool,0,0
Samuel Edozie,Southampton,0,0
Lewis O'Brien,Nottingham Forest,0.2,0
Nampalys Mendy,Leicester,0.1,0
Mykhailo Mudryk,Chelsea,0.1,0
Fábio Vieira,Arsenal,0,0
Leander Dendoncker,Aston Villa,0,0
Alphonse Areola,West Ham,0,0
Stuart Armstrong,Southampton,0.2,0
Rob Holding,Arsenal,0,0
Tom Cairney,Fulham,0.1,0
Chris Wood,Nottingham Forest,0,0
Elliot Anderson,Newcastle,0,0
Sam Greenwood,Leeds,0.1,0
Daniel Iversen,Leicester,0,0
Nathaniel Clyne,Crystal Palace,0.1,0
Chris Wood,Newcastle,0,0
Armando Broja,Chelsea,0,0
Yves Bissouma,Tottenham,0.3,0
Harry Toffolo,Nottingham Forest,0.1,0
Darko Gyabi,Leeds,0,0
Facundo Buonanotte,Brighton,0.2,0
Albert Sambi Lokonga,Arsenal,0,0
Jack Colback,Nottingham Forest,0,0
Oriol Romeu,Southampton,0,0
Sékou Mara,Southampton,0,0
Adam Armstrong,Southampton,0.1,0
Daniel James,Fulham,0,0
Christian Pulisic,Chelsea,0,0
Will Hughes,Crystal Palace,0.1,0
Kalvin Phillips,Manchester City,0.1,0
Siriki Dembélé,Bournemouth,0,0
Adam Forshaw,Leeds,0,0
Anthony Elanga,Manchester United,0,0
Jan Paul van Hecke,Brighton,0.3,0
Carney Chukwuemeka,Chelsea,0,0
Kieran Tierney,Arsenal,0,0
Anthony Gordon,Newcastle,0.1,0
Boubacar Traoré,Wolves,0.2,0
Georginio Rutter,Leeds,0,0
Keane Lewis-Potter,Brentford,0,0
Diego Costa,Wolves,0.2,0
Sergio Gómez,Manchester City,0,0
Ryan Fraser,Newcastle,0.1,0
Kevin Mbabu,Fulham,0.2,0
Arnaut Danjuma,Tottenham,0,0
Illia Zabarnyi,Bournemouth,0,0
Shandon Baptiste,Brentford,0,0
Marek Rodák,Fulham,0,0
Sasa Kalajdzic,Wolves,0,0
Giulian Biancone,Nottingham Forest,0,0
Ibrahima Diallo,Southampton,0.2,0
Tariq Lamptey,Brighton,0.1,0
Neal Maupay,Everton,0.1,0
Rúben Vinagre,Everton,0,0
Gustavo Scarpa,Nottingham Forest,0.2,0
Dennis Praet,Leicester,0,0
Javier Manquillo,Newcastle,0,0
Luka Milivojevic,Crystal Palace,0.1,0
Donny van de Beek,Manchester United,0,0
Facundo Pellistri,Manchester United,0,0
Emile Smith Rowe,Arsenal,0,0
Thomas Cannon,Everton,0,0
Antoine Semenyo,Bournemouth,0,0
Japhet Tanganga,Tottenham,0,0
Sasa Lukic,Fulham,0.1,0
Pape Sarr,Tottenham,0.1,0
Jean-Philippe Mateta,Crystal Palace,0.1,0
Joe Gelhardt,Leeds,0.1,0
Yasin Ayari,Brighton,0,0
Jesse Lingard,Nottingham Forest,0.1,0
Jack Stephens,Southampton,0,0
Ellis Simms,Everton,0,0
Divin Mubama,West Ham,0,0
Jonjo Shelvey,Nottingham Forest,0.3,0
Naby Keïta,Liverpool,0.1,0
Manuel Lanzini,West Ham,0,0
Flynn Downes,West Ham,0.1,0
James Tomkins,Crystal Palace,0.2,0.2
James McArthur,Crystal Palace,0,0
Harvey White,Tottenham,0,0
Ryan Fredericks,Bournemouth,0.1,0
Saman Ghoddos,Brentford,0,0
Mateusz Klich,Leeds,0.1,0
Matt Ritchie,Newcastle,0,0
Tom Davies,Everton,0.2,0
Pierre-Emerick Aubameyang,Chelsea,0.1,0
Mislav Orsic,Southampton,0,0
Omari Hutchinson,Chelsea,0,0
Sergi Canós,Brentford,0,0
Salomón Rondón,Everton,0,0
Calum Chambers,Aston Villa,0.1,0
Kobbie Mainoo,Manchester United,0,0
Jairo Riedewald,Crystal Palace,0,0
Chem Campbell,Wolves,0,0
Cafú,Nottingham Forest,0,0
Diego Carlos,Aston Villa,0,0
Ben Doak,Liverpool,0,0
Mads Bech,Brentford,0,0
Jay Stansfield,Fulham,0,0
Jhon Durán,Aston Villa,0.1,0
Maxwel Cornet,West Ham,0,0
Lucas Moura,Tottenham,0,0.1
Sam Surridge,Nottingham Forest,0.1,0
Jack Stacey,Bournemouth,0.2,0
Layvin Kurzawa,Fulham,0.3,0
André Ayew,Nottingham Forest,0.1,0
David Brooks,Bournemouth,0.2,0
Jack Hinshelwood,Brighton,0,0
Mohamed Elneny,Arsenal,0,0
Cédric Soares,Arsenal,0,0
Joe Whitworth,Crystal Palace,0,0
Morgan Sanson,Aston Villa,0,0
Ben Pearson,Bournemouth,0.1,0
Mateo Joseph,Leeds,0,0
Jamaal Lascelles,Newcastle,0.4,0
Bobby Clark,Liverpool,0,0
Malcolm Ebiowei,Crystal Palace,0,0
Jonjo Shelvey,Newcastle,0,0
Junior Stanislas,Bournemouth,0,0
Halil Dervisoglu,Brentford,0,0
Lewis Brunt,Leicester,0,0
Connor Ronan,Wolves,0,0
Conor Coventry,West Ham,0,0
David Ozoh,Crystal Palace,0,0
Emil Krafth,Newcastle,0,0
Ethan Nwaneri,Arsenal,0,0
George Abbott,Tottenham,0,0
Marquinhos,Arsenal,0,0
Nathan Redmond,Southampton,0,0
Tyrese Francois,Fulham,0,0
Naouirou Ahamada,Crystal Palace,0.1,0
Djed Spence,Tottenham,0,0
Joe Hodge,Wolves,0.2,0
Emiliano Marcondes,Bournemouth,0,0
Jamal Lowe,Bournemouth,0,0
Cameron Archer,Aston Villa,0,0
Alex McCarthy,Southampton,0,0
Josh Onomah,Fulham,0,0
Luke Harris,Fulham,0,0
Dom Ballard,Southampton,0,0
Odeluga Offiah,Brighton,0,0
Dele Alli,Everton,0,0
Alex Mighten,Nottingham Forest,0,0
Jamal Lewis,Newcastle,0,0
Máximo Perrone,Manchester City,0,0
Kamari Doyle,Southampton,0,0
Owen Bevan,Bournemouth,0,0
Nathaniel Chalobah,Fulham,0,0.3
Dexter Lembikisa,Wolves,0,0
Cameron Peupion,Brighton,0,0
Andrew Moran,Brighton,0,0
Shane Duffy,Fulham,0,0
Yan Valery,Southampton,0,0
