player_name,team_name,UnsuccessfulTouches,Dispossessed
Luka Romero,Lazio,0.8,0.7
Francesco Rossi,Atalanta,0,0
Benjamin Tahirovic,Roma,0.2,0.1
Joaquín Sosa,Bologna,0.5,0.2
Yacine Adli,AC Milan,0.5,0.8
Szymon Zurkowski,Spezia,1.4,0.3
Emmanuel Gyasi,Spezia,2.1,1.2
Szymon Zurkowski,Fiorentina,0.5,0.5
Mattia Valoti,Monza,0.6,0.3
Kristjan Asllani,Inter,0.2,0.1
Andrea Belotti,Roma,1.1,0.5
Tanguy Ndombélé,Napoli,0.9,0.6
Jeison Murillo,Sampdoria,0.4,0.1
Kaan Ayhan,Sassuolo,0,0.1
Kevin Lasagna,Verona,2,1.3
Nicolò Cocetta,Udinese,0,0
Tommaso Cassandro,Lecce,0,0
Demba Seck,Torino,1.3,0.7
Simone Romagnoli,Lecce,0,0
Ignacio Pussetto,Sampdoria,1.4,0.2
Alberto Basso,Cremonese,0,1
Filippo Missori,Roma,1,0.3
Toma Basic,Lazio,0.5,0.2
Lukas Vorlicky,Atalanta,0.3,0.3
Liam Henderson,Empoli,0.4,0.2
Nicolò Zaniolo,Roma,3,2.7
Kristoffer Askildsen,Lecce,0.6,0.1
Giacomo Quagliata,Cremonese,0.5,0.3
Florian Thauvin,Udinese,1.2,0.5
Alessio Zerbin,Napoli,0.5,0.5
Pietro Pellegri,Torino,1.3,1.1
Petko Hristov,Spezia,0.3,0
Andrea Barberis,Monza,0.3,0.7
Emil Ceïde,Sassuolo,0.8,0.4
Grégoire Defrel,Sassuolo,1,0.6
Viktor Kovalenko,Spezia,0.5,0.1
Salvatore Molina,Monza,0.8,0.4
Tiémoué Bakayoko,AC Milan,0.3,0.3
Tio Cipot,Spezia,0.6,0.8
Emanuel Vignato,Bologna,0.3,0.5
Erik Botheim,Salernitana,0.7,0.4
Simone Pafundi,Udinese,0.3,0.4
Emirhan Ilkhan,Torino,0.5,0.5
Youssef Maleh,Lecce,0.5,0.6
Ronaldo Vieira,Sampdoria,0.4,0.4
Michel Aebischer,Bologna,0.9,0.5
Agustín Álvarez,Sassuolo,0.7,0.5
Mato Jajalo,Udinese,0.3,0
Warren Bondo,Monza,0.3,0.3
Diego Demme,Napoli,0.4,0.1
Jesé,Sampdoria,0.5,0.3
Niklas Pyyhtiä,Bologna,0.2,0.5
Francesco Caputo,Sampdoria,1.4,0.9
Marash Kumbulla,Roma,0.3,0
Aster Vranckx,AC Milan,0.4,0.9
Ivan Radovanovic,Salernitana,0.6,0
Kristijan Bistrovic,Lecce,0.3,0.5
Nicolò Rovella,Juventus,0.3,0
Fabio Quagliarella,Sampdoria,1,0.2
Salvador Ferrer,Spezia,0.4,0.2
Gerard Yepes,Sampdoria,0.6,0.2
Jack Hendry,Cremonese,0,0
Matteo Lovato,Salernitana,0.3,0.2
Emirhan Ilkhan,Sampdoria,0.6,0
Mattia Destro,Empoli,0.8,0.3
Nicola Murru,Sampdoria,0.4,0.1
Valentin Antov,Monza,0.3,0.2
João Moutinho,Spezia,0,0
Antonio Iervolino,Salernitana,0,0
Giulio Donati,Monza,0.3,0.1
Thórir Helgason,Lecce,0.3,0.2
Youssef Maleh,Fiorentina,0.9,0.9
Matteo Cancellieri,Lazio,0.7,0.2
Marios Oikonomou,Sampdoria,0.5,0
Alessandro Cortinovis,Verona,0,0
Antonio Mirante,AC Milan,0,0
Jordan Majchrzak,Roma,0,0
Alessandro Bianco,Fiorentina,0.3,0.7
Mert Müldür,Sassuolo,0,0
Tommaso Milanese,Cremonese,1.5,0.5
Riccardo Marchizza,Sassuolo,0.2,0.3
Hans Nicolussi Caviglia,Salernitana,0.9,0.5
Roberto Piccoli,Verona,1,0.6
Leandro Sanca,Spezia,0.3,0.3
Marco D'Alessandro,Monza,0.5,0.6
Daniele Montevago,Sampdoria,1.5,0.7
Eldor Shomurodov,Roma,0.7,0.8
Ronaldo Vieira,Torino,1,0.5
Gonzalo Villar,Sampdoria,0.7,0.3
Diego Valencia,Salernitana,0.6,0.3
Flavio Paoletti,Sampdoria,0.4,0
Lorenzo Malagrida,Sampdoria,0,0.2
Tommaso Barbieri,Juventus,1.7,0
Christian Gytkjær,Monza,0.8,0.2
Filippo Romagna,Sassuolo,0,0
Marcin Listkowski,Lecce,0.2,0.2
Joel Voelkerling Persson,Lecce,0.6,0.3
Vivaldo Semedo,Udinese,0.4,0.2
Felix Afena-Gyan,Cremonese,1.5,0.9
Karim Zedadka,Napoli,0.3,0
Valentín Carboni,Inter,0.4,0.2
David Strelec,Spezia,0.4,0.6
Antonio Raimondo,Bologna,0.5,0.5
Julius Beck,Spezia,1,1
Pablo Rodríguez,Lecce,0.3,0.5
Raimonds Krollis,Spezia,0.3,0.3
Gvidas Gineitis,Torino,0.3,0.3
Samuel Di Carmine,Cremonese,0,0
Leonardo Buta,Udinese,0,0
Mattia Zanotti,Inter,0.5,0
Deyovaisio Zeefuik,Verona,0,0
Mert Çetin,Lecce,2,0
Ajdin Hrustic,Verona,1.3,0.5
Antonín Barák,Verona,1,1
Duccio Degli Innocenti,Empoli,0,0
Herculano Nabian,Empoli,0,0
Marco Bertini,Lazio,0,0
Mihailo Ivanovic,Sampdoria,0,0
Niccolò Pisilli,Roma,0,0
Stefan Radu,Lazio,0,0
Telasco Segovia,Sampdoria,0,0
Jacopo Sala,Spezia,0.2,0
Emmanuel Ekong,Empoli,0,0
Franck Ribéry,Salernitana,0,1
Jacopo Segre,Torino,0,0
Mikael Ellertsson,Spezia,0.2,0.2
Federico Marchetti,Spezia,0,0
Andrea Carboni,Monza,0,0
Julian Kristoffersen,Salernitana,1,0
Christian Acella,Cremonese,1,0
Samir Ujkani,Empoli,0,0
Lorenzo Tonelli,Empoli,0,0
Kastriot Dermaku,Lecce,0,0
Manuel De Luca,Sampdoria,1,1
Andrea Conti,Sampdoria,0,1
Brandon Soppy,Udinese,0,0
Luca Marrone,Monza,0,0
Giacomo Raspadori,Sassuolo,2,1
Marko Lazetic,AC Milan,1,2
Bruno Amione,Verona,0,0
Alessio Cragno,Monza,0,0
Luís Maximiano,Lazio,0,0
Alessandro Russo,Sassuolo,0,0
