player_name,team_name,Total_Aerial,Won,Lost
Giulio Maggiore,Salernitana,1.4,0.6,0.9
Mario Gila,Lazio,0.8,0,0.8
Federico Bonazzoli,Salernitana,0.9,0.3,0.7
Roberto Gagliardini,Inter,1.2,0.8,0.4
Gonzalo Escalante,Cremonese,2,1,1
Samuele Vignato,Monza,0.6,0.2,0.4
Luka Romero,Lazio,0.5,0.3,0.2
Francesco Rossi,Atalanta,0,0,0
Benjamin Tahirovic,Roma,0.6,0.5,0.2
Joaquín Sosa,Bologna,2.6,1.4,1.2
Yacine Adli,AC Milan,0.7,0.2,0.5
Szymon Zurkowski,Spezia,1.7,0.7,1
Emmanuel Gyasi,Spezia,2.1,0.5,1.5
Szymon Zurkowski,Fiorentina,1,0.5,0.5
Mattia Valoti,Monza,2.4,1.1,1.3
Kristjan Asllani,Inter,0.2,0,0.2
Andrea Belotti,Roma,3.1,1.2,2
Tanguy Ndombélé,Napoli,0.3,0.2,0.1
Jeison Murillo,Sampdoria,2.4,1.4,1
Kaan Ayhan,Sassuolo,1,0.3,0.7
Kevin Lasagna,Verona,3.4,0.8,2.6
Nicolò Cocetta,Udinese,0,0,0
Tommaso Cassandro,Lecce,0,0,0
Demba Seck,Torino,0.9,0.4,0.5
Simone Romagnoli,Lecce,2.6,1.4,1.1
Ignacio Pussetto,Sampdoria,1.8,0.8,1
Alberto Basso,Cremonese,1,1,0
Filippo Missori,Roma,1.3,0.7,0.7
Toma Basic,Lazio,0.8,0.6,0.2
Lukas Vorlicky,Atalanta,1.3,0.7,0.7
Liam Henderson,Empoli,0.7,0.2,0.4
Nicolò Zaniolo,Roma,1,0.4,0.6
Kristoffer Askildsen,Lecce,1.9,1,0.9
Giacomo Quagliata,Cremonese,0.8,0.1,0.7
Florian Thauvin,Udinese,0.9,0.4,0.4
Alessio Zerbin,Napoli,0.1,0,0.1
Pietro Pellegri,Torino,2.4,0.6,1.8
Petko Hristov,Spezia,1.7,1.1,0.6
Andrea Barberis,Monza,0.4,0.2,0.2
Emil Ceïde,Sassuolo,0.2,0.1,0.2
Grégoire Defrel,Sassuolo,1.1,0.2,0.9
Viktor Kovalenko,Spezia,1.1,0.3,0.8
Salvatore Molina,Monza,0.2,0,0.2
Tiémoué Bakayoko,AC Milan,0.7,0.3,0.3
Tio Cipot,Spezia,0.4,0.1,0.3
Emanuel Vignato,Bologna,0.5,0.3,0.3
Erik Botheim,Salernitana,1.8,0.8,1
Simone Pafundi,Udinese,0.1,0.1,0
Emirhan Ilkhan,Torino,1,0.3,0.8
Youssef Maleh,Lecce,0.9,0.5,0.5
Ronaldo Vieira,Sampdoria,1.2,0.5,0.7
Michel Aebischer,Bologna,1.1,0.3,0.8
Agustín Álvarez,Sassuolo,1,0.4,0.6
Mato Jajalo,Udinese,0.3,0.3,0
Warren Bondo,Monza,0.3,0.3,0
Diego Demme,Napoli,0.4,0.3,0.1
Jesé,Sampdoria,1.3,0.2,1.1
Niklas Pyyhtiä,Bologna,1.2,0.2,1
Francesco Caputo,Sampdoria,1.8,0.4,1.4
Marash Kumbulla,Roma,1.6,1,0.6
Aster Vranckx,AC Milan,1,0.4,0.6
Ivan Radovanovic,Salernitana,2,0.8,1.2
Kristijan Bistrovic,Lecce,0.6,0.2,0.5
Nicolò Rovella,Juventus,0,0,0
Fabio Quagliarella,Sampdoria,1.6,0.4,1.2
Salvador Ferrer,Spezia,1.6,1,0.6
Gerard Yepes,Sampdoria,1.4,1,0.4
Jack Hendry,Cremonese,2.8,2,0.8
Matteo Lovato,Salernitana,1.9,0.9,1
Emirhan Ilkhan,Sampdoria,1,0.3,0.8
Mattia Destro,Empoli,1.6,0.5,1.2
Nicola Murru,Sampdoria,0.8,0.4,0.4
Valentin Antov,Monza,1.9,0.7,1.2
João Moutinho,Spezia,0.3,0,0.3
Antonio Iervolino,Salernitana,0,0,0
Giulio Donati,Monza,0.8,0.4,0.3
Thórir Helgason,Lecce,0.9,0.3,0.6
Youssef Maleh,Fiorentina,1,0.4,0.6
Matteo Cancellieri,Lazio,0.4,0.2,0.2
Marios Oikonomou,Sampdoria,1,0.7,0.3
Alessandro Cortinovis,Verona,3,0,3
Antonio Mirante,AC Milan,0,0,0
