player_name,team_name,Total_Passes,AccLB,InAccLB,AccSP,InAccSP
Simone Verdi,Verona,13.7,1.1,0.7,9.3,2.6
Samuele Ricci,Torino,40.9,1.6,0.9,35,3.4
Marin Pongracic,Lecce,40.1,3.2,2.7,29.7,4.6
Nicolò Cambiaghi,Empoli,13.6,0.3,0.2,10.7,2.5
Pablo Marí,Monza,53.5,4.4,3.1,43.2,2.9
Arthur Cabral,Fiorentina,9.4,0.2,0.1,6.3,2.8
Janis Antiste,Sassuolo,9,0,0,6.5,2.5
Vlad Chiriches,Cremonese,25.6,2.1,1.8,19.4,2.3
Alexis Blin,Lecce,26.1,0.8,0.9,20.4,4
Danilo Cataldi,Lazio,43.9,1.9,1.1,37,3.9
David Okereke,Cremonese,14.2,0.5,0.3,9.9,3.6
Georginio Wijnaldum,Roma,14.2,0.1,0.1,11.8,2.1
Matteo Politano,Napoli,19.8,0.9,0.9,15.3,2.7
Jhon Lucumí,Bologna,58.9,3.9,2.5,48.5,4.1
Isak Hien,Verona,31.4,1.8,2.8,21.8,5
José Palomino,Atalanta,33.4,1.8,2.1,25.8,3.7
Ciprian Tatarusanu,AC Milan,30.1,7.9,7.3,14.8,0.1
Martin Erlic,Sassuolo,46,4,2.9,35.6,3.5
Krzysztof Piatek,Salernitana,16.2,0.4,0.4,11,4.5
Nicola Zalewski,Roma,28.7,2,2.6,20.7,3.4
Alessandro Zanoli,Sampdoria,26,0.7,1.5,20,3.8
Federico Chiesa,Juventus,13.1,0.2,0.2,10,2.6
Weston McKennie,Juventus,25.1,1.1,0.6,19.5,4
Alexis Saelemaekers,AC Milan,17.8,0.5,0.3,14,3.1
Pierre Kalulu,AC Milan,50.1,2.6,2.2,41.8,3.5
Andrea Cambiaso,Bologna,39.1,1.3,1.2,32.2,4.4
Juan Musso,Atalanta,23,5.2,7.7,10,0.2
Bartlomiej Dragowski,Spezia,29.8,5.6,10.3,13.6,0.3
Diego Llorente,Roma,33.1,1.9,1.1,27.4,2.7
Sasa Lukic,Torino,43.8,2.5,1.1,36.1,4.1
Jonathan Ikoné,Fiorentina,18.8,1.2,0.3,14.7,2.7
Jean-Daniel Akpa Akpro,Empoli,16.3,0.6,0.6,11.8,3.3
Vanja Milinkovic-Savic,Torino,42.3,8.6,17.7,15.9,0.1
Luca D'Andrea,Sassuolo,15.2,0.4,0,11.2,3.6
Frank Tsadjout,Cremonese,13.3,0.1,0.2,9.1,3.9
Remi Oudin,Lecce,15,1.5,1.1,9,3.4
Aleksa Terzic,Fiorentina,24.1,1.3,1,19.5,2.4
Matteo Ruggeri,Atalanta,33,1.1,1.2,26.7,4
Merih Demiral,Atalanta,23.2,1.3,1.3,18.6,2
Denso Kasius,Bologna,20.7,1.4,2.9,13.3,3.1
Ruslan Malinovskyi,Atalanta,20.1,1.7,1,14.3,3.1
Pawel Dawidowicz,Verona,33.7,2,3.4,23.8,4.5
Matheus Henrique,Sassuolo,28.2,1.5,0.6,23.1,3.1
Fodé Ballo-Touré,AC Milan,20.8,0.4,0.8,17.8,1.8
Lorenzo Pirola,Salernitana,37.6,1.3,2.5,28.9,4.8
Cyril Ngonge,Verona,11,0.1,0.3,6.4,4.2
Manolo Gabbiadini,Sampdoria,16.9,0.3,0.4,11.7,4.5
Mile Svilar,Roma,21.3,5.3,9.3,6.7,0
Manuel Lazzari,Lazio,33.4,0.9,0.4,28.9,3.1
Alessandro Florenzi,AC Milan,21.2,0.8,2.8,15.5,2
Samuele Perisan,Empoli,27,5,7.3,14.3,0.4
Marco Silvestri,Udinese,27.2,4.6,6.6,15.7,0.2
Luka Lochoshvili,Cremonese,31.1,1.2,3.3,23.7,3
Ondrej Duda,Verona,27.6,1.8,1.3,19.5,5
Cristian Volpato,Roma,13.6,1.1,0.6,10,1.9
Rogério,Sassuolo,44.1,3.1,2.9,33.5,4.6
Leonardo Spinazzola,Roma,29.3,1.8,2.1,20.8,4.6
Filippo Bandinelli,Empoli,26,1.1,1.6,19.3,4.1
Luca Ranieri,Fiorentina,36.3,2.2,2.9,28.3,2.9
Tommaso Baldanzi,Empoli,23.8,0.5,0.6,19.9,2.9
Alex Ferrari,Cremonese,26.7,1.6,2.6,18.4,4.2
Isaac Success,Udinese,18.3,0.7,0.4,11.7,5.5
Marco Sportiello,Atalanta,25.1,4.3,6.4,14.3,0.2
Andrea Colpani,Monza,13.6,0.6,0.3,10.7,2
Gaetano Castrovilli,Fiorentina,15.1,0.8,0.7,11.5,2.2
James Abankwah,Udinese,12.5,0.5,0.5,9,2.5
Santiago Ascacíbar,Cremonese,32.5,1.8,1.8,25,3.8
Jeroen Zoet,Spezia,24,5,11.2,7.4,0.4
Caleb Okoli,Atalanta,25.7,1.1,1.2,18.4,5.1
Matías Vecino,Lazio,30.2,0.8,0.9,25.2,3.4
Francesco Caputo,Empoli,15.4,0,0,11.1,4.3
Mouhamadou Sarr,Cremonese,35.5,9.5,9.5,16,0.5
Fabio Depaoli,Sampdoria,22.7,2.7,2.3,14.7,3
Charalampos Lykogiannis,Bologna,26.4,1.3,2.1,18.6,4.4
Flavius Daniliuc,Salernitana,41.3,2.6,2.1,33,3.7
Kevin Agudelo,Spezia,20.2,0.5,0.4,14.7,4.5
Nadir Zortea,Atalanta,8.1,0.6,0.4,4.4,2.7
Elseid Hysaj,Lazio,35.7,1.3,1.2,29.2,4
Antonino Gallo,Lecce,28.5,1.8,4.3,18,4.5
Luka Jovic,Fiorentina,9.5,0.5,0.1,6.8,2
Nicolò Fagioli,Juventus,22,1.2,0.8,17.6,2.3
Mehdi Bourabia,Spezia,32.5,1.2,1.4,24.8,5.2
Tommaso Augello,Sampdoria,35.4,1.6,1.5,25.8,6.4
Soualiho Meïté,Cremonese,32.6,1.5,1.2,26.2,3.7
Valentino Lazaro,Torino,29.1,1.1,1.8,21.7,4.6
Mario Pasalic,Atalanta,21.6,0.7,0.4,16.8,3.7
Andrea Petagna,Monza,13.7,0.5,0.1,9.7,3.4
Omar Colley,Sampdoria,44.4,2.4,2.8,35.8,3.3
Przemyslaw Wisniewski,Spezia,34.9,1.8,2.8,27.6,2.7
Pietro Terracciano,Fiorentina,33,8.2,8.4,16,0.3
Simon Kjær,AC Milan,40,3.7,2.9,31,2.4
Arkadiusz Reca,Spezia,28.3,1.3,2.1,18.9,6
Alberto Grassi,Empoli,22.3,0.9,1,17.2,3.1
Matteo Bianchetti,Cremonese,37.1,2.4,3.8,26.7,4.2
Maxime Lopez,Sassuolo,54.6,3.1,1.5,45.6,4.5
Duván Zapata,Atalanta,14.9,0.4,0.2,10.4,4
Joakim Mæhle,Atalanta,34.7,0.8,1.2,27.5,5.2
Emanuel Aiwu,Cremonese,32.3,1.2,2.6,25.3,3.3
Bartosz Bereszynski,Napoli,28.3,0.7,0,22,5.7
Matías Soulé,Juventus,11.8,0.6,0.2,9.2,1.7
Nicola Sansone,Bologna,10.8,0.2,0.1,8.3,2.2
Luis Muriel,Atalanta,15.3,0.9,0.6,10.1,3.7
Giangiacomo Magnani,Verona,20.4,1.9,2.7,13.2,2.6
Koffi Djidji,Torino,41.5,1.4,2.3,34.8,2.9
Nadir Zortea,Sassuolo,31.6,1.4,2.1,23.8,4.3
Gianluca Caprari,Monza,26.8,1,0.2,21.3,4.3
Leonardo Bonucci,Juventus,34,2.5,2.3,27.4,1.9
Josh Doig,Verona,16.8,0.7,1.2,11,3.8
Sam Lammers,Empoli,16.1,0.1,0.4,10.1,5.5
Nemanja Radonjic,Torino,13.9,0.3,0.3,9.7,3.6
Sebastian Walukiewicz,Empoli,35.8,2.3,2.4,29.1,2.1
Adama Soumaoro,Bologna,46.4,1.7,0.8,41.6,2.3
Bruno Amione,Sampdoria,37.5,1.4,2.5,28.7,5
