Player_name,Team_name,Age,Positions,Apps,Mins,Goals,Assists,Yel,Red,Shoots_pg,Pass_success(%),AerialsWon,MotM,Rating,Tackles,Interceptions,Fouls,Offsides,Clear,Dribbled_past_pg,Blocks,OwnG,Shots_pg,KeyPasses_pg,Dribbles_pg,Fouled,Offsides_pg,Dispossessed_pg,Bad_Controls_pg,Passes_pg,Crosses_pg,Long_pass_pg,Through_pass_pg,xG,Goals-xG,xG_per_90m,Total_shots,xG_per_total_shots
Memphis Depay,Barcelona,30,"AM(CL),FW",2,116,1,0,0,0,3,83.9,0.5,0,7.23,0.5,0,1,0,0,0.5,0,0,1.4,0.6,0.5,0.8,0,1.1,2,10.5,0.1,0.3,0.1,1,0,0.78,6,0.17
Memphis Depay,Barcelona,30,"AM(CL),FW",2,116,1,0,0,0,3,83.9,0.5,0,7.23,0.5,0,1,0,0,0.5,0,0,1.4,0.6,0.5,0.8,0,1.1,2,10.5,0.1,0.3,0.1,3.2,0.8,1.07,11,0.29
Memphis Depay,Barcelona,30,"AM(CL),FW",2,116,1,0,0,0,3,83.9,0.5,0,7.23,0.1,0,0.3,0,0,0.1,0,0,3,1.5,1.5,1,0.5,2,3.5,31,0.5,1,0,1,0,0.78,6,0.17
Memphis Depay,Barcelona,30,"AM(CL),FW",2,116,1,0,0,0,3,83.9,0.5,0,7.23,0.1,0,0.3,0,0,0.1,0,0,3,1.5,1.5,1,0.5,2,3.5,31,0.5,1,0,3.2,0.8,1.07,11,0.29
Memphis Depay,Barcelona,30,"AM(CL),FW",2,116,1,0,0,0,3,83.9,0.5,0,7.23,0.1,0,0.3,0,0,0.1,0,0,3,1.5,1.5,1,0.5,2,3.5,10.5,0.1,0.3,0.1,1,0,0.78,6,0.17
Memphis Depay,Barcelona,30,"AM(CL),FW",2,116,1,0,0,0,3,83.9,0.5,0,7.23,0.1,0,0.3,0,0,0.1,0,0,3,1.5,1.5,1,0.5,2,3.5,10.5,0.1,0.3,0.1,3.2,0.8,1.07,11,0.29
Memphis Depay,Barcelona,30,"AM(CL),FW",2,116,1,0,0,0,3,83.9,0.5,0,7.23,0.1,0,0.3,0,0,0.1,0,0,1.4,0.6,0.5,0.8,0,1.1,2,31,0.5,1,0,1,0,0.78,6,0.17
Memphis Depay,Barcelona,30,"AM(CL),FW",2,116,1,0,0,0,3,83.9,0.5,0,7.23,0.1,0,0.3,0,0,0.1,0,0,1.4,0.6,0.5,0.8,0,1.1,2,31,0.5,1,0,3.2,0.8,1.07,11,0.29
Memphis Depay,Barcelona,30,"AM(CL),FW",2,116,1,0,0,0,3,83.9,0.5,0,7.23,0.1,0,0.3,0,0,0.1,0,0,1.4,0.6,0.5,0.8,0,1.1,2,10.5,0.1,0.3,0.1,1,0,0.78,6,0.17
Memphis Depay,Barcelona,30,"AM(CL),FW",2,116,1,0,0,0,3,83.9,0.5,0,7.23,0.1,0,0.3,0,0,0.1,0,0,1.4,0.6,0.5,0.8,0,1.1,2,10.5,0.1,0.3,0.1,3.2,0.8,1.07,11,0.29
Memphis Depay,Atletico,30,"AM(CL),FW",3(5),269,4,0,1,0,1.4,78.6,0.1,0,6.62,0.5,0,1,0,0,0.5,0,0,3,1.5,1.5,1,0.5,2,3.5,31,0.5,1,0,1,0,0.78,6,0.17
Memphis Depay,Atletico,30,"AM(CL),FW",3(5),269,4,0,1,0,1.4,78.6,0.1,0,6.62,0.5,0,1,0,0,0.5,0,0,3,1.5,1.5,1,0.5,2,3.5,31,0.5,1,0,3.2,0.8,1.07,11,0.29
Memphis Depay,Atletico,30,"AM(CL),FW",3(5),269,4,0,1,0,1.4,78.6,0.1,0,6.62,0.5,0,1,0,0,0.5,0,0,3,1.5,1.5,1,0.5,2,3.5,10.5,0.1,0.3,0.1,1,0,0.78,6,0.17
Memphis Depay,Atletico,30,"AM(CL),FW",3(5),269,4,0,1,0,1.4,78.6,0.1,0,6.62,0.5,0,1,0,0,0.5,0,0,3,1.5,1.5,1,0.5,2,3.5,10.5,0.1,0.3,0.1,3.2,0.8,1.07,11,0.29
Memphis Depay,Atletico,30,"AM(CL),FW",3(5),269,4,0,1,0,1.4,78.6,0.1,0,6.62,0.5,0,1,0,0,0.5,0,0,1.4,0.6,0.5,0.8,0,1.1,2,31,0.5,1,0,1,0,0.78,6,0.17
Memphis Depay,Atletico,30,"AM(CL),FW",3(5),269,4,0,1,0,1.4,78.6,0.1,0,6.62,0.5,0,1,0,0,0.5,0,0,1.4,0.6,0.5,0.8,0,1.1,2,31,0.5,1,0,3.2,0.8,1.07,11,0.29
Memphis Depay,Atletico,30,"AM(CL),FW",3(5),269,4,0,1,0,1.4,78.6,0.1,0,6.62,0.5,0,1,0,0,0.5,0,0,1.4,0.6,0.5,0.8,0,1.1,2,10.5,0.1,0.3,0.1,1,0,0.78,6,0.17
Memphis Depay,Atletico,30,"AM(CL),FW",3(5),269,4,0,1,0,1.4,78.6,0.1,0,6.62,0.5,0,1,0,0,0.5,0,0,1.4,0.6,0.5,0.8,0,1.1,2,10.5,0.1,0.3,0.1,3.2,0.8,1.07,11,0.29
Memphis Depay,Atletico,30,"AM(CL),FW",3(5),269,4,0,1,0,1.4,78.6,0.1,0,6.62,0.1,0,0.3,0,0,0.1,0,0,3,1.5,1.5,1,0.5,2,3.5,31,0.5,1,0,1,0,0.78,6,0.17
Memphis Depay,Atletico,30,"AM(CL),FW",3(5),269,4,0,1,0,1.4,78.6,0.1,0,6.62,0.1,0,0.3,0,0,0.1,0,0,3,1.5,1.5,1,0.5,2,3.5,31,0.5,1,0,3.2,0.8,1.07,11,0.29
Memphis Depay,Atletico,30,"AM(CL),FW",3(5),269,4,0,1,0,1.4,78.6,0.1,0,6.62,0.1,0,0.3,0,0,0.1,0,0,3,1.5,1.5,1,0.5,2,3.5,10.5,0.1,0.3,0.1,1,0,0.78,6,0.17
Memphis Depay,Atletico,30,"AM(CL),FW",3(5),269,4,0,1,0,1.4,78.6,0.1,0,6.62,0.1,0,0.3,0,0,0.1,0,0,3,1.5,1.5,1,0.5,2,3.5,10.5,0.1,0.3,0.1,3.2,0.8,1.07,11,0.29
Memphis Depay,Atletico,30,"AM(CL),FW",3(5),269,4,0,1,0,1.4,78.6,0.1,0,6.62,0.1,0,0.3,0,0,0.1,0,0,1.4,0.6,0.5,0.8,0,1.1,2,31,0.5,1,0,1,0,0.78,6,0.17
Memphis Depay,Atletico,30,"AM(CL),FW",3(5),269,4,0,1,0,1.4,78.6,0.1,0,6.62,0.1,0,0.3,0,0,0.1,0,0,1.4,0.6,0.5,0.8,0,1.1,2,31,0.5,1,0,3.2,0.8,1.07,11,0.29
Memphis Depay,Atletico,30,"AM(CL),FW",3(5),269,4,0,1,0,1.4,78.6,0.1,0,6.62,0.1,0,0.3,0,0,0.1,0,0,1.4,0.6,0.5,0.8,0,1.1,2,10.5,0.1,0.3,0.1,1,0,0.78,6,0.17
Memphis Depay,Atletico,30,"AM(CL),FW",3(5),269,4,0,1,0,1.4,78.6,0.1,0,6.62,0.1,0,0.3,0,0,0.1,0,0,1.4,0.6,0.5,0.8,0,1.1,2,10.5,0.1,0.3,0.1,3.2,0.8,1.07,11,0.29
Pedri,Barcelona,21,AM(CL),22(4),1983,6,1,2,0,0.8,87.6,0.1,4,7.20,1.5,0.5,0.3,0,0.3,1.2,0,0,0.8,1.7,1.4,1.7,0.2,1.2,1.2,54.1,0.3,4.3,0.4,4.93,1.07,0.22,22,0.22
Joselu,Espanyol,34,FW,33(1),2989,16,2,3,0,2.7,61,5.1,5,7.15,0.4,0.2,0.7,0,1.2,0.4,0.1,0,2.7,0.6,0.5,2.1,0.8,1.3,2.5,21.7,0.2,0.4,0,15.69,0.31,0.47,92,0.17
Frenkie de Jong,Barcelona,26,"D(C),DMC",29(4),2539,2,4,3,0,0.5,91.4,1,4,7.15,1.4,1.1,1,0.1,0.6,0.7,0,0,0.5,1.4,1.1,1,0,0.7,0.7,68.4,0.3,3,0.4,2.4,-0.4,0.09,18,0.13
Gerónimo Rulli,Villarreal,31,GK,14,1260,0,0,1,0,0,83.7,0.2,2,7.14,0,0.1,0,0,0.7,0,0,0,0,0,0,0.1,0,0,0,33.8,0,5,0,,,,,
Ousmane Dembélé,Barcelona,26,"AM(CLR),FW",16(9),1416,5,7,4,0,2,83.4,0.2,3,7.14,0.8,0,0.6,0,0,0.4,0,0,2,1.6,2.1,0.8,0.2,0.7,1.1,29.4,0.9,0.9,0.2,5.1,-0.1,0.32,49,0.1
Mikel Merino,Real Sociedad,27,M(C),28(5),2500,2,9,6,1,1.3,77.6,3.4,7,7.13,2.3,0.6,2.2,0,1.5,0.9,0.2,0,1.3,1.3,0.7,1.5,0.1,1.1,1.5,44.3,0.2,2,0.2,4.49,-2.49,0.16,42,0.11
Gonzalo Escalante,Cadiz,31,DMC,13(1),1126,4,1,4,0,1,75.8,1.9,2,7.10,2.6,1.2,1,0,1.7,1,0.3,0,1,0.7,0.5,1.2,0,0.6,1,30.4,0.1,1.1,0.1,3.27,0.73,0.26,14,0.23
Lee Kang-In,Mallorca,23,"M(CLR),FW",33(3),2841,6,6,10,0,1.3,80.3,0.6,6,7.09,1.2,0.3,1.4,0,0.1,1.2,0.1,0,1.3,1.5,2.5,1.7,0.1,1.2,1.9,24.4,1.6,0.9,0.1,4.6,1.4,0.15,46,0.1
