team_name,P,W,D,L,GF,GA,GD,Pts,Goals,Yellow,Red,Poss%,Pass%,A_Won,Rating,Shot allowed,Tackles pg,Intercept pg,Fouls pg,Offsides pg,Shots OT pg,Dribbles pg,Fouled pg,xG,GoalsDiff,xGDiff,Shots,xG/shots,League
Roma,38,18,9,11,50,38,12,63,50,78,4,48.1,81.3,14.4,6.64,10.4,16.4,9.7,11.7,1.5,4.4,4.4,4.4,60.17,50,-10.17,498,0.12,Italy-Serie-A
Juventus,38,22,6,10,56,33,23,62,56,72,6,49.4,83.6,12.8,6.71,12.3,15.6,8.1,12.0,1.6,4.7,4.7,4.7,56.71,56,-0.71,535,0.11,Italy-Serie-A
Fiorentina,38,15,11,12,53,43,10,56,53,89,3,56.4,82.3,15.5,6.6,9.1,15.3,6.8,12.8,1.5,4.9,4.9,4.9,58.79,51,-7.79,603,0.1,Italy-Serie-A
Bologna,38,14,12,12,53,49,4,54,53,81,3,55.0,83.0,9.8,6.6,12.7,17.0,7.9,12.6,2.0,4.2,4.2,4.2,47.01,52,4.99,485,0.1,Italy-Serie-A
Torino,38,14,11,13,42,41,1,53,42,81,0,53.3,81.1,15.6,6.57,11.4,12.4,7.7,13.3,2.1,3.9,3.9,3.9,47.11,41,-6.11,446,0.11,Italy-Serie-A
Monza,38,14,10,14,48,52,-4,52,48,88,4,55.6,84.6,11.8,6.55,12.8,15.7,8.8,12.9,1.8,3.8,3.8,3.8,45.94,46,0.06,412,0.11,Italy-Serie-A
Udinese,38,11,13,14,47,48,-1,46,47,86,3,47.5,81.8,12.7,6.58,12.3,17.1,8.3,12.6,1.3,4.0,4.0,4.0,47.98,46,-1.98,505,0.1,Italy-Serie-A
Sassuolo,38,12,9,17,47,61,-14,45,47,84,6,49.1,82.5,9.9,6.48,12.7,13.2,7.3,10.7,1.1,4.5,4.5,4.5,51.48,46,-5.48,487,0.11,Italy-Serie-A
Empoli,38,10,13,15,37,49,-12,43,37,82,7,47.1,80.3,11.5,6.53,16.1,15.9,7.4,11.6,1.4,3.4,3.4,3.4,40.85,35,-5.85,449,0.09,Italy-Serie-A
Salernitana,38,9,15,14,48,62,-14,42,48,84,4,44.6,78.7,14.0,6.51,15.6,15.4,8.7,12.4,1.8,3.1,3.1,3.1,35.84,46,10.16,383,0.09,Italy-Serie-A
Lecce,38,8,12,18,33,46,-13,36,33,85,2,40.8,72.4,14.9,6.49,11.8,18.6,9.7,14.6,1.8,3.0,3.0,3.0,37.35,31,-6.35,418,0.09,Italy-Serie-A
Spezia,38,6,13,19,31,62,-31,31,31,95,6,46.9,77.1,14.1,6.43,15.8,16.4,7.9,13.7,1.4,3.3,3.3,3.3,41.76,29,-12.76,423,0.1,Italy-Serie-A
Verona,38,7,10,21,31,59,-28,31,31,104,3,40.5,70.7,21.4,6.47,14.2,15.9,8.9,14.2,2.0,3.2,3.2,3.2,37.4,29,-8.4,416,0.09,Italy-Serie-A
Cremonese,38,5,12,21,36,69,-33,27,36,81,3,41.4,75.0,14.8,6.47,15.3,18.5,10.3,12.1,1.8,3.5,3.5,3.5,37.88,35,-2.88,465,0.08,Italy-Serie-A
Sampdoria,38,3,10,25,24,71,-47,19,24,104,3,45.6,78.2,16.4,6.41,15.8,15.5,8.3,13.3,1.4,3.1,3.1,3.1,34.83,23,-11.83,378,0.09,Italy-Serie-A
Barcelona,38,28,4,6,70,20,50,88,70,78,6,64.8,88.1,12.3,6.85,8.7,13.7,6.7,11.4,2.6,5.1,5.1,5.1,78.24,69,-9.24,572,0.14,Spain-LaLiga
Real Madrid,38,24,6,8,75,36,39,78,75,68,3,61.2,90.0,8.9,6.86,11.1,14.3,7.8,9.7,2.3,5.8,5.8,5.8,77.6,73,-4.6,646,0.12,Spain-LaLiga
Atletico Madrid,38,23,8,7,70,33,37,77,70,86,8,50.4,84.2,11.9,6.75,11.5,17.6,8.0,11.6,2.1,5.3,5.3,5.3,63.05,68,4.95,539,0.12,Spain-LaLiga
Real Sociedad,38,21,8,9,51,35,16,71,51,91,2,54.6,81.9,17.6,6.65,10.4,17.4,7.1,16.3,2.4,4.7,4.7,4.7,58.68,47,-11.68,469,0.13,Spain-LaLiga
Villarreal,38,19,7,12,59,40,19,64,59,86,4,56.7,85.4,9.5,6.68,12.5,15.2,6.9,11.8,2.3,5.2,5.2,5.2,65.31,57,-8.31,506,0.13,Spain-LaLiga
Real Betis,38,17,9,12,46,41,5,60,46,77,15,50.5,82.4,12.1,6.63,12.3,17.5,9.6,10.9,1.9,4.0,4.0,4.0,51.83,43,-8.83,420,0.12,Spain-LaLiga
Osasuna,38,15,8,15,37,42,-5,53,37,91,7,48.1,78.0,16.2,6.54,11.7,14.1,8.3,14.3,1.6,3.6,3.6,3.6,40.88,36,-4.88,446,0.09,Spain-LaLiga
Athletic Club,38,14,9,15,47,43,4,51,47,80,5,51.5,80.1,14.2,6.59,10.3,16.0,8.2,13.5,2.5,4.5,4.5,4.5,58.66,46,-12.66,548,0.11,Spain-LaLiga
Mallorca,38,14,8,16,37,43,-6,50,37,121,5,40.4,75.5,17.8,6.56,13.1,15.3,8.4,16.1,2.0,3.0,3.0,3.0,37.46,36,-1.46,329,0.11,Spain-LaLiga
Girona,38,13,10,15,58,55,3,49,58,88,3,50.9,83.4,11.4,6.55,13.0,14.5,7.0,11.6,2.3,4.5,4.5,4.5,53.88,55,1.12,455,0.12,Spain-LaLiga
Rayo Vallecano,38,13,10,15,45,53,-8,49,45,87,6,50.8,78.8,11.5,6.51,11.5,16.7,8.1,14.3,2.6,4.1,4.1,4.1,42.69,41,-1.69,518,0.08,Spain-LaLiga
Sevilla,38,13,10,15,47,54,-7,49,47,112,13,52.7,83.0,13.1,6.53,13.4,15.4,8.9,12.5,2.8,3.9,3.9,3.9,49.21,47,-2.21,468,0.11,Spain-LaLiga
Celta Vigo,38,11,10,17,43,53,-10,43,43,80,6,50.1,81.8,12.1,6.56,10.2,17.5,9.7,12.3,2.1,4.3,4.3,4.3,41.96,41,-0.96,473,0.09,Spain-LaLiga
Cadiz,38,10,12,16,30,53,-23,42,30,107,7,41.3,74.1,16.1,6.49,14.5,16.4,7.1,14.0,2.0,3.1,3.1,3.1,41.59,29,-12.59,395,0.11,Spain-LaLiga
Getafe,38,10,12,16,34,45,-11,42,34,116,9,39.2,70.6,19.0,6.49,12.8,14.2,8.4,15.8,2.1,3.3,3.3,3.3,38.32,34,-4.32,373,0.1,Spain-LaLiga
Valencia,38,11,9,18,42,45,-3,42,42,86,8,51.8,80.6,13.0,6.54,10.5,17.8,7.6,13.3,2.1,3.9,3.9,3.9,52.85,40,-12.85,488,0.11,Spain-LaLiga
Almeria,38,11,8,19,49,65,-16,41,49,94,4,44.9,78.3,12.8,6.5,14.3,14.7,8.5,11.7,2.2,4.2,4.2,4.2,46.77,49,2.23,442,0.11,Spain-LaLiga
Real Valladolid,38,11,7,20,33,63,-30,40,33,89,6,48.5,79.1,12.5,6.5,15.5,17.7,9.1,12.1,2.6,3.8,3.8,3.8,40.64,32,-8.64,447,0.09,Spain-LaLiga
Espanyol,38,8,13,17,52,69,-17,37,52,91,10,42.6,76.5,17.1,6.53,14.3,17.2,8.9,12.0,1.6,4.1,4.1,4.1,51.07,51,-0.07,422,0.12,Spain-LaLiga
Elche,38,5,10,23,30,67,-37,25,30,93,12,44.9,79.1,12.8,6.44,14.8,16.7,8.5,13.8,2.1,3.4,3.4,3.4,39.15,30,-9.15,405,0.1,Spain-LaLiga
