player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Dribbles allowed,Blocks,OwnGoal,Key_pass_per_game,Dribble,Foul_given_game,Offside_given_per_game,Dispossessed_per_game,Unsuccessful touches,Average_per_pass,Crosses_per_game,Longpass_per_game,Through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot,position_1,position_2,position_3,position_4,position_5,position_6
James Tarkowski,Everton,31,CB,38,3420,1,1,6,0,0.8,81.2,3.2,2,6.97,1.3,1.3,1.1,0.3,5.2,0.5,2.1,0,0.4,0.2,0.6,0.1,0.1,0.6,42.6,0.0,3.2,0.1,2.97,-1.97,0.08,32.0,0.09,CB,,,,,
Luis Díaz,Liverpool,27,"LAM, RAM",11(6),997,4,2,2,0,1.6,82.7,0.5,2,6.97,1.0,0.4,1.2,0.0,0.1,0.4,0.0,0,0.8,1.9,1.4,0.2,2.2,1.8,26.2,0.1,1.0,0.0,3.27,0.73,0.29,27.0,0.12,LAM, RAM,,,,
Ollie Watkins,Aston Villa,28,"LAM, RAM, FW",36(1),3136,15,6,4,0,2.3,69.9,1.9,3,6.96,0.5,0.3,0.7,0.0,1.1,0.5,0.1,0,0.8,0.5,1.1,0.5,1.1,2.2,14.9,0.1,0.1,0.0,16.8,-1.8,0.48,86.0,0.2,LAM, RAM, FW,,,
Diogo Dalot,Manchester United,25,"LB, RB, RM",24(2),2155,1,2,6,0,0.8,80.5,1.5,2,6.96,2.1,1.4,0.8,0.1,2.0,0.5,0.3,0,1.1,0.8,0.1,0.0,0.2,0.7,45.7,0.5,2.7,0.0,2.39,-1.39,0.1,22.0,0.11,LB, RB, RM,,,
Pedro Porro,Tottenham,24,"RB, RM",13(2),1138,3,3,0,0,1.7,75.3,0.1,1,6.96,1.7,1.0,0.8,0.2,1.3,1.7,0.1,0,1.7,0.9,1.1,0.1,0.5,1.0,31.9,1.7,1.0,0.2,1.38,1.62,0.11,26.0,0.05,RB, RM,,,,
Marcus Tavernier,Bournemouth,25,"CM, LM, RM",19(4),1749,5,4,1,0,1.6,77.3,0.7,3,6.95,1.4,0.4,0.9,0.1,0.7,1.0,0.2,0,0.8,2.0,1.2,0.2,1.7,2.0,25.9,0.9,0.8,0.0,3.6,1.4,0.19,37.0,0.1,CM, LM, RM,,,
Rúben Neves,Wolves,27,CDM,33(2),3022,6,1,12,0,1.9,84.0,0.7,5,6.95,2.3,1.4,1.1,0.0,2.3,1.3,0.6,0,0.9,0.6,0.5,0.0,0.4,0.6,58.1,0.3,6.1,0.1,5.32,0.68,0.16,66.0,0.08,CDM,,,,,
James Ward-Prowse,Southampton,29,"CM, RM",38,3373,9,4,6,0,1.2,85.3,1.2,2,6.95,1.7,1.4,0.9,0.0,1.2,1.1,0.3,1,1.9,0.2,0.5,0.0,0.6,0.7,50.5,1.8,1.7,0.0,5.74,3.26,0.15,44.0,0.13,CM, RM,,,,
Thiago Silva,Chelsea,39,CB,26(1),2352,0,2,2,0,0.6,91.3,2.3,1,6.95,1.5,1.3,0.4,0.5,4.0,0.4,1.1,0,0.2,0.1,0.5,0.0,0.0,0.2,75.2,0.0,4.3,0.0,1.27,-1.27,0.05,15.0,0.08,CB,,,,,
David Raya,Brentford,28,GK,38,3420,0,0,1,0,0.0,60.7,0.3,3,6.95,0.0,0.0,0.0,0.0,0.5,0.1,0.0,1,0.1,0.0,0.2,0.0,0.0,0.0,38.8,0.0,10.8,0.0,0.08,-0.08,0.0,1.0,0.08,GK,,,,,
