Player_name,Team_name,Age,Positions,Apps,Mins,Goals,Assists,Yel,Red,Shoots_pg,Pass_success(%),AerialsWon,MotM,Rating,Tackles,Interceptions,Fouls,Offsides,Clear,Dribbled_past_pg,Blocks,OwnG,Shots_pg,KeyPasses_pg,Dribbles_pg,Fouled,Offsides_pg,Dispossessed_pg,Bad_Controls_pg,Passes_pg,Crosses_pg,Long_pass_pg,Through_pass_pg,xG,Goals-xG,xG_per_90m,Total_shots,xG_per_total_shots
Erik Botheim,Salernitana,24,"AM(C),FW",9(19),858,1,3,2,0,0.3,72.8,0.8,0,6.19,0.4,0,0.4,0,0.1,0.3,0,0,0.3,0.3,0.1,0.4,0.1,0.4,0.7,8,0,0.1,0,,,,,
Simone Pafundi,Udinese,18,Midfielder,0(8),76,0,0,0,0,0.1,83.9,0.1,0,6.19,1,0.1,0,0,0,0.3,0,0,0.1,0.4,0.3,0.4,0,0.4,0.3,7.8,0,0.6,0,,,,,
Emirhan Ilkhan,Torino,19,AM(C),1(3),88,0,0,1,0,0.5,83.7,0.3,0,6.19,0.3,0.5,1.3,0,0.5,0,0.3,0,0.5,0.3,0.3,0,0,0.5,0.5,10.8,0,1.3,0,,,,,
Emirhan Ilkhan,Torino,19,AM(C),1(3),88,0,0,1,0,0.5,83.7,0.3,0,6.19,0.3,0.5,1.3,0,0.5,0,0.3,0,0.5,0.3,0.3,0,0,0.5,0.5,7.4,0.1,0.5,0,,,,,
Emirhan Ilkhan,Torino,19,AM(C),1(3),88,0,0,1,0,0.5,83.7,0.3,0,6.19,0.3,0.5,1.3,0,0.5,0,0.3,0,0.1,0.1,0.1,0.3,0,0,0.6,10.8,0,1.3,0,,,,,
Emirhan Ilkhan,Torino,19,AM(C),1(3),88,0,0,1,0,0.5,83.7,0.3,0,6.19,0.3,0.5,1.3,0,0.5,0,0.3,0,0.1,0.1,0.1,0.3,0,0,0.6,7.4,0.1,0.5,0,,,,,
Emirhan Ilkhan,Torino,19,AM(C),1(3),88,0,0,1,0,0.5,83.7,0.3,0,6.19,0.8,0,0,0,0.4,0.1,0.1,0,0.5,0.3,0.3,0,0,0.5,0.5,10.8,0,1.3,0,,,,,
Emirhan Ilkhan,Torino,19,AM(C),1(3),88,0,0,1,0,0.5,83.7,0.3,0,6.19,0.8,0,0,0,0.4,0.1,0.1,0,0.5,0.3,0.3,0,0,0.5,0.5,7.4,0.1,0.5,0,,,,,
Emirhan Ilkhan,Torino,19,AM(C),1(3),88,0,0,1,0,0.5,83.7,0.3,0,6.19,0.8,0,0,0,0.4,0.1,0.1,0,0.1,0.1,0.1,0.3,0,0,0.6,10.8,0,1.3,0,,,,,
Emirhan Ilkhan,Torino,19,AM(C),1(3),88,0,0,1,0,0.5,83.7,0.3,0,6.19,0.8,0,0,0,0.4,0.1,0.1,0,0.1,0.1,0.1,0.3,0,0,0.6,7.4,0.1,0.5,0,,,,,
