player_name,team_name,Unsuccessful,Successful,Total Dribbles
Jodel Dossou,Clermont Foot,1.4,0.9,2.3
Darlin Yongwa,Lorient,2.5,0.9,3.4
Houssem Aouar,Lyon,0.8,0.6,1.4
Jean-Claude Billong,Clermont Foot,0,0,0
Miha Blazic,Angers,0,0,0
Logan Costa,Toulouse,0.3,0.2,0.5
Samuel Moutoussamy,Nantes,0.4,0.5,0.8
Calvin Stengs,Nice,1,1.5,2.5
Adil Rami,Troyes,0.3,0.2,0.5
Ibrahima Sissoko,Strasbourg,0.3,0.3,0.7
Cédric Bakambu,Marseille,0.7,0,0.7
Ibrahim Diakité,Reims,0.7,0.3,1
Youcef Belaïli,Brest,1.8,0.7,2.5
Soungoutou Magassa,Monaco,0.5,0.5,1
Paul Bernardoni,Angers,0,0,0
Julian Jeanvier,Auxerre,0,0.1,0.1
Jeff Reine-Adélaïde,Lyon,0.7,0.9,1.6
Lassine Sinayoko,Auxerre,1,0.8,1.8
Pablo Rosario,Nice,0.4,0.2,0.6
Adrien Thomasson,Strasbourg,0.5,0.5,1.1
Julien Ponceau,Lorient,0.6,0.3,1
Souleyman Doumbia,Angers,2.1,1.1,3.2
Cyrille Bayala,AC Ajaccio,1.3,0.8,2.1
Akim Zedadka,Lille,0.6,0.4,1
Arbër Zeneli,Reims,1.9,0.7,2.6
Billal Brahimi,Nice,0.6,0.7,1.3
Oumar Gonzalez,AC Ajaccio,0.3,0.2,0.5
Vincent Sierro,Toulouse,0.1,0.4,0.5
Sacha Delaye,Montpellier,0,0,0
Siriki Dembélé,Auxerre,1,1.6,2.6
Moussa Sissoko,Nantes,0.7,0.5,1.2
Thierno Baldé,Troyes,1,1.2,2.2
Alexandre Coeff,Auxerre,0.3,0,0.3
Matis Carvalho,Montpellier,0,0,0
Yoann Cathline,Lorient,1.7,1,2.7
Ibrahima Niané,Angers,1.3,0.5,1.8
Abdallah Sima,Angers,0.9,0.6,1.5
Christophe Hérelle,Brest,0.1,0.1,0.1
Brayann Pereira,Auxerre,3.5,3,6.5
Birger Meling,Rennes,0.6,0.2,0.8
Wout Faes,Reims,0.3,0.3,0.7
Bamba Dieng,Marseille,0.1,0.2,0.3
Adrien Hunou,Angers,0.6,0.4,1
Cédric Hountondji,Angers,0,0,0.1
Vítinha,Marseille,0.4,0.4,0.8
Eric Bailly,Marseille,0.1,0.1,0.2
Tanguy Zoukrou,Troyes,0.1,0.3,0.4
Pierrick Capelle,Angers,0.6,0.5,1.1
Romain Faivre,Lyon,1.7,0.3,2
Franci Bouebari,Strasbourg,0,0.5,0.5
Ismaël Diallo,AC Ajaccio,0.7,0.5,1.2
Batista Mendy,Angers,0.7,1.1,1.7
Amine Salama,Angers,1.4,0.9,2.2
Mitchell van Bergen,Reims,0.9,0.5,1.4
Amine Gouiri,Nice,1,0,1
Mickaël Alphonse,AC Ajaccio,0.3,0.4,0.7
Moussa Diarra,Toulouse,0.7,0.4,1
Denis Genreau,Toulouse,0.8,0.4,1.2
Rémy Descamps,Nantes,0,0,0
Jeff Reine-Adélaïde,Troyes,1.2,1.7,2.8
João Victor,Nantes,0.4,0.5,0.8
Komnen Andric,Clermont Foot,0.3,0.2,0.4
Ruben Aguilar,Monaco,0.4,0.4,0.7
Maxime Busi,Reims,0.9,0.3,1.2
Khalil Fayad,Montpellier,0.3,0.3,0.7
Dennis Appiah,Nantes,0.8,0.4,1.2
Bonke Innocent,Lorient,0.1,0.2,0.3
Erik Palmer-Brown,Troyes,0.2,0.2,0.4
Amin Sarr,Lyon,0.8,0.3,1.1
Timothée Pembélé,Paris Saint-Germain,0.2,0.8,1
Florent Ogier,Clermont Foot,0.2,0.2,0.3
Nordine Kandil,Strasbourg,1,0.9,1.9
Jérôme Boateng,Lyon,0,0,0
Gauthier Hein,Auxerre,0.9,0.5,1.4
Azzedine Ounahi,Marseille,0.3,0.9,1.1
Arnaud Souquet,Montpellier,0.4,0.2,0.6
Thomas Mangani,AC Ajaccio,0.1,0.2,0.2
Moussa Dembélé,Lyon,0.3,0.2,0.5
Benoît Costil,Auxerre,0,0.1,0.1
Alexis Beka Beka,Nice,0.6,0.6,1.2
Enzo Tchato,Montpellier,0.4,0.2,0.6
Marcus Coco,Nantes,0.3,0.3,0.6
Malang Sarr,Monaco,0.2,0.2,0.3
Romain Hamouma,AC Ajaccio,1.2,0.8,2
Papa Ndiaga Yade,Troyes,0.8,0.4,1.2
Farid El Melali,Angers,1.6,1.5,3.2
M'Baye Niang,Auxerre,1.1,0.3,1.4
Warren Zaïre-Emery,Paris Saint-Germain,0.5,0.6,1.1
Gelson Martins,Monaco,0.8,0.4,1.2
Mamadou Sakho,Montpellier,0.1,0.1,0.1
Julien Le Cardinal,Lens,0.3,0.3,0.5
Clément Vidal,AC Ajaccio,0,0,0
Ibrahim Salah,Rennes,0.4,1,1.4
Myron Boadu,Monaco,0.3,0.1,0.3
