player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Dribbles allowed,Blocks,OwnGoal,Key_pass_per_game,Dribble,Foul_given_game,Offside_given_per_game,Dispossessed_per_game,Unsuccessful touches,Average_per_pass,Crosses_per_game,Longpass_per_game,Through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot,position_1,position_2,position_3,position_4,position_5
Jonathan Clauss,Marseille,31,"RB, LM, RM",32(2),2604,2,9,1,0,1.4,75.8,0.3,2,6.95,1.4,0.9,0.7,0.1,1.1,0.9,0.1,0,1.4,0.9,0.4,0.1,0.5,1.4,33.4,0.9,1.4,0.1,4.05,-2.05,0.14,48.0,0.08,RB, LM, RM,,
Jonathan Gradit,Lens,31,"CB, RB",33,2830,1,3,7,0,0.2,90.2,1.5,0,6.95,1.9,1.2,0.9,0.3,2.5,0.7,0.8,0,0.4,0.4,1.2,0.0,0.3,0.5,62.5,0.2,3.1,0.1,0.87,0.13,0.03,5.0,0.17,CB, RB,,,
Dante,Nice,40,CB,37,3300,1,2,6,0,0.6,90.1,2.0,0,6.94,1.9,1.3,1.0,0.3,3.3,0.6,0.8,0,0.3,0.2,0.5,0.0,0.2,0.4,71.0,0.0,4.2,0.1,1.45,-0.45,0.04,23.0,0.06,CB,,,,
Yunis Abdelhamid,Reims,36,CB,37,3330,1,2,6,0,0.9,83.1,2.5,1,6.94,2.2,1.7,1.3,0.6,3.1,0.4,0.7,0,0.4,0.6,0.8,0.1,0.6,0.7,54.3,0.0,2.9,0.0,2.99,-1.99,0.08,32.0,0.09,CB,,,,
Rasmus Nicolaisen,Toulouse,27,CB,34,2997,0,2,5,1,0.4,84.3,3.4,1,6.94,1.4,1.5,0.9,0.3,4.4,0.5,1.3,1,0.1,0.3,0.8,0.0,0.2,0.2,51.7,0.0,3.6,0.0,1.21,-1.21,0.04,13.0,0.09,CB,,,,
Achraf Hakimi,Paris Saint-Germain,25,"LB, RB, RM",23(5),2053,5,3,5,2,0.6,90.2,0.3,0,6.94,1.9,0.6,1.0,0.0,0.5,1.0,0.1,0,1.2,1.0,0.7,0.2,0.8,1.0,49.8,0.6,0.5,0.0,2.98,2.02,0.13,18.0,0.17,LB, RB, RM,,
Yehvann Diouf,Reims,24,GK,31,2790,0,0,2,0,0.0,76.4,0.5,2,6.94,0.1,0.0,0.0,0.0,0.7,0.1,0.0,0,0.0,0.1,0.3,0.0,0.0,0.1,28.0,0.0,6.2,0.0,,,,,,GK,,,,
Kevin Danso,Lens,25,CB,37,3234,1,2,7,1,0.6,90.1,2.3,2,6.94,1.0,0.9,1.1,0.7,3.3,0.3,0.9,0,0.3,0.5,1.5,0.1,0.5,0.5,62.9,0.0,2.6,0.0,3.13,-2.13,0.09,24.0,0.13,CB,,,,
Bradley Barcola,Lyon,21,"LAM, RAM, FW",15(11),1438,5,8,3,0,1.0,72.4,0.6,3,6.94,1.0,0.7,0.9,0.0,0.3,1.2,0.0,0,1.0,1.5,0.3,0.3,0.3,1.4,16.9,0.2,0.2,0.0,4.63,0.37,0.29,27.0,0.17,LAM, RAM, FW,,
Marco Verratti,Paris Saint-Germain,31,CM,27(2),2206,0,0,10,1,0.3,92.9,0.4,0,6.94,2.6,0.9,1.2,0.0,0.4,1.8,0.2,0,1.1,1.0,1.8,0.0,1.1,0.6,87.5,0.1,2.8,0.2,0.94,-0.94,0.04,8.0,0.12,CM,,,,
Vanderson,Monaco,22,"RB, RM",24(7),2220,1,4,3,1,0.8,77.9,0.9,2,6.93,2.7,1.5,1.2,0.1,1.0,1.0,0.3,0,0.9,0.9,0.6,0.1,0.7,1.2,35.2,0.7,2.2,0.0,2.22,-1.22,0.09,26.0,0.09,RB, RM,,,
Kenny Lala,Brest,32,"LB, RB, RM",16(1),1419,0,2,4,0,0.7,77.9,0.5,0,6.93,2.1,1.2,1.1,0.4,1.4,0.9,0.3,0,1.4,0.7,0.9,0.1,0.6,0.7,38.8,1.3,4.2,0.1,0.43,-0.43,0.03,12.0,0.04,LB, RB, RM,,
Tetê,Lyon,24,"CAM, RAM",14(3),1114,6,2,3,0,1.8,81.7,0.2,2,6.93,1.2,0.8,0.6,0.0,0.1,0.5,0.0,0,0.6,1.2,1.1,0.3,0.9,1.8,26.6,0.4,0.6,0.0,3.67,2.33,0.3,30.0,0.12,CAM, RAM,,,
Adrien Thomasson,Lens,30,"CM, LM, RM",16(4),1288,5,5,1,0,1.1,80.3,0.6,0,6.92,1.2,0.2,1.1,0.0,0.8,1.7,0.1,0,1.0,0.6,0.9,0.3,0.9,1.3,27.1,0.2,0.9,0.1,3.44,1.56,0.24,21.0,0.16,CM, LM, RM,,
Alexander Djiku,Strasbourg,29,"CB, RB, CDM",31,2681,1,2,8,1,0.5,80.8,3.0,1,6.92,1.7,2.1,1.3,0.4,4.8,0.6,0.6,0,0.4,0.1,0.8,0.1,0.2,0.3,48.0,0.1,4.5,0.0,1.01,-0.01,0.03,17.0,0.06,CB, RB, CDM,,
Caio Henrique,Monaco,26,"LB, CM, LM",32(3),2898,1,9,3,0,0.3,80.3,0.5,2,6.92,2.1,0.7,0.4,0.2,1.5,0.9,0.2,1,1.5,0.5,0.7,0.0,0.3,0.8,44.2,1.1,1.7,0.1,0.75,0.25,0.02,10.0,0.08,LB, CM, LM,,
Karl Toko-Ekambi,Lyon,31,"LAM, RAM, FW",15(4),1357,4,2,1,0,2.2,82.3,0.8,2,6.91,0.5,0.5,0.4,0.0,0.3,0.6,0.1,0,1.4,1.4,0.5,0.1,1.3,2.0,30.4,0.3,1.4,0.1,4.6,-0.6,0.31,41.0,0.11,LAM, RAM, FW,,
Jonathan Bamba,Lille,28,"CAM, LAM, RAM, FW",32(2),2790,6,7,6,0,2.1,83.8,0.6,2,6.91,1.1,0.6,1.0,0.0,0.4,0.9,0.0,0,1.4,1.0,1.7,0.4,1.8,1.9,37.7,0.4,0.9,0.1,8.96,-2.96,0.29,71.0,0.13,CAM, LAM, RAM, FW,
Dejan Lovren,Lyon,34,CB,17,1462,1,0,2,0,0.8,88.2,2.8,0,6.91,1.5,1.5,0.6,0.8,3.8,0.5,0.6,0,0.1,0.1,0.8,0.0,0.2,0.3,64.1,0.0,3.9,0.1,0.88,0.12,0.05,13.0,0.07,CB,,,,
Neto Borges,Clermont Foot,27,"CB, LB, LM",33,2840,3,1,2,2,0.7,79.5,1.1,4,6.91,2.3,1.2,0.6,0.2,1.5,0.9,0.3,0,0.8,1.4,1.4,0.2,0.6,1.3,34.9,0.6,0.8,0.0,3.18,-0.18,0.1,23.0,0.14,CB, LB, LM,,
Khéphren Thuram,Nice,23,"CDM, LM",30(5),2560,2,4,3,0,1.1,86.9,0.5,1,6.91,1.5,1.1,0.9,0.0,0.9,0.7,0.4,0,1.0,1.3,0.5,0.1,1.0,0.9,37.7,0.1,1.2,0.1,2.94,-0.94,0.1,38.0,0.08,CDM, LM,,,
Folarin Balogun,Reims,22,FW,34(3),3013,21,2,5,0,3.5,72.5,0.4,4,6.9,0.2,0.1,1.0,0.0,0.4,0.5,0.0,0,1.0,0.9,1.5,0.8,2.0,2.5,14.8,0.2,0.3,0.0,24.97,-3.97,0.75,128.0,0.2,FW,,,,
Azor Matusiwa,Reims,26,CDM,29(1),2492,0,0,4,0,0.4,85.7,1.1,0,6.89,2.2,1.5,1.4,0.0,1.6,0.8,0.4,0,0.8,0.5,1.1,0.0,0.4,0.8,53.3,0.0,3.8,0.0,0.34,-0.34,0.01,11.0,0.03,CDM,,,,
Mateusz Lis,Troyes,27,GK,8(1),749,0,0,1,0,0.0,63.2,0.1,0,6.89,0.0,0.0,0.1,0.0,0.8,0.1,0.0,0,0.0,0.0,0.2,0.0,0.0,0.1,30.2,0.0,5.3,0.0,,,,,,GK,,,,
Youssouf Fofana,Monaco,25,CDM,35(1),3089,2,2,1,2,1.2,82.5,0.6,0,6.89,2.3,1.6,1.4,0.0,0.9,1.0,0.2,1,0.9,1.3,1.1,0.1,1.1,1.3,47.7,0.0,2.6,0.2,2.42,-0.42,0.07,42.0,0.06,CDM,,,,
Fabián Ruiz,Paris Saint-Germain,28,"CM, LM",21(6),1899,3,2,0,0,1.0,92.3,0.2,1,6.89,2.3,0.7,0.7,0.0,0.8,1.3,0.0,0,0.6,0.7,0.5,0.1,0.6,0.9,64.1,0.0,2.1,0.1,2.62,0.38,0.12,26.0,0.1,CM, LM,,,
Junya Ito,Reims,31,"LM, RM, FW",34(1),2930,6,5,3,1,1.2,71.3,0.8,3,6.89,1.1,0.2,0.6,0.0,0.1,1.1,0.0,0,1.9,1.8,1.2,0.9,1.3,2.5,25.8,1.4,0.5,0.1,5.77,0.23,0.18,42.0,0.14,LM, RM, FW,,
Romain Del Castillo,Brest,28,"CAM, LAM, RAM, FW",16(11),1429,6,6,2,0,1.3,72.3,0.7,2,6.88,1.4,0.4,0.7,0.0,0.2,0.7,0.0,0,1.3,1.0,0.9,0.0,1.1,1.7,20.3,1.2,0.9,0.1,6.27,-0.27,0.39,36.0,0.17,CAM, LAM, RAM, FW,
