player_name,team_name,Fouled,Fouls
Kaj Sierhuis,Reims,0.3,0.4
Abdoul Kader Bamba,Nantes,0.4,0.6
Patrick Pentz,Reims,0.3,0
Jean Botué,AC Ajaccio,0.8,0.6
Hianga'a M'Bock,Brest,0,0.5
Naatan Skyttä,Toulouse,0.5,0
Baïla Diallo,Clermont Foot,0.2,0.5
Alan Virginius,Lille,0.1,0.4
Nathanaël Mbuku,Reims,1.2,0
Zinédine Ould Khaled,Angers,0,0.3
Ousmane Camara,Auxerre,0,0.7
Moussa Soumano,AC Ajaccio,0.3,0.7
Ilyes Housni,Paris Saint-Germain,1,0
Guela Doué,Rennes,0,0
Béni Makouana,Montpellier,0.1,0.4
Karamoko Dembélé,Brest,0.6,0.3
Sérigné Faye,Montpellier,0.5,0
Mamadou Sarr,Lyon,0,0
Florian Chabrolle,AC Ajaccio,0.1,0.3
Irvin Cardona,Brest,0.2,0.5
Rafik Guitane,Reims,0,1
Thibault Tamas,Montpellier,0,2
Alberth Elis,Brest,0.5,0.8
El Bilal Touré,Reims,0.3,1
Jason Berthomier,Clermont Foot,0,0
Alan Do Marcolino,Rennes,0,0.3
Kévin Keben,Toulouse,0.5,0.2
Christopher Wooh,Lens,0,0
Isaak Touré,Marseille,0,0.4
Yanis Begraoui,Toulouse,0,0
Saïd Hamulic,Toulouse,0.2,0.3
Alexandre Letellier,Paris Saint-Germain,0,0
Amine Messoussa,Lille,0,0
Andréa Dacourt,Nice,0,0
Axel Gueguin,Montpellier,0,0
Mohamed El Arouch,Lyon,0,0
Paolo Lebas,AC Ajaccio,0,3
Romain Salin,Rennes,0,0
Simon Ramet,Lille,0,0
Théo Trinker,Nice,0,0
Danel Dongmo,Troyes,0.5,0
Yoann Touzghar,AC Ajaccio,0.5,0.5
Adrian Grbic,Lorient,0,1.5
Ignatius Ganago,Lens,0,0.5
Adam Buksa,Lens,0.1,0.6
Moussa Djitté,AC Ajaccio,0.5,0.7
Patrick Berg,Lens,0,0.3
Anthony Khelifa,AC Ajaccio,0,0
Dany Jean,Strasbourg,0,0
Jason Mbock,Angers,0,0
Salim Ben Seghir,Marseille,0,0
François Mughe,Marseille,0,0
François-Joseph Sollacaro,AC Ajaccio,0,0
Ouparine Djoco,Clermont Foot,0,0
Mathis Hamdi,Troyes,0.5,0.5
Pedro Mendes,Montpellier,1,0
Léo Jardim,Lille,0,0.2
Christian Mawissa,Toulouse,1,1
