,Unnamed: 0,player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Dribbles allowed,Blocks,OwnGoal,Key_pass_per_game,Dribble,Foul_given_game,Offside_given_per_game,Dispossessed_per_game,Unsuccessful touches,Average_per_pass,Crosses_per_game,Longpass_per_game,Through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot
364,169,Désiré Doué,Rennes,18, AM(CLR),11(15),1116,3,1,5,0,0.8,81.2,0.4,1,6.71,1.4,0.5,1.4,0,0.1,0.7,0,0,0.6,1.8,1.1,0.2,1.2,1.3,16.2,0.3,0.9,0,1.54,1.46,0.12,21,0.07
365,170,Vito Mannone,Lorient,36, GK,17(1),1607,0,0,1,0,0.0,71.4,0.2,1,6.71,0,0,0,0,0.9,0,0,0,0,0,0.1,0,0,0,26.8,0,3.8,0,,,,,
366,171,Mario Lemina,Nice,30, M(C),11(3),844,0,0,1,1,0.4,90.0,0.4,0,6.71,2.3,0.8,0.9,0,1.4,0.4,0.4,0,0.3,0.8,0.4,0,0.1,0.3,45.1,0,1.6,0,0.25,-0.25,0.03,6,0.04
367,172,Angel Gomes,Lille,23," M(CL),FW",34(2),2836,2,6,9,0,1.6,87.9,0.3,1,6.71,1.1,0.4,1.5,0,0.3,0.9,0.1,0,0.9,0.8,1.4,0,0.7,1.1,47.6,0.3,3,0.1,4.56,-2.56,0.14,56,0.08
368,173,Arthur Theate,Rennes,23, D(CL),35,3129,4,0,5,0,0.9,89.6,2.0,1,6.71,0.8,0.9,0.7,0.8,3.2,0.4,0.4,1,0.3,0.2,0.4,0,0.1,0.4,73,0,3.7,0,3.91,0.09,0.11,31,0.13
369,174,André Gomes,Lille,30, M(CLR),18(8),1628,3,2,6,0,0.7,89.2,0.7,1,6.71,1.4,0.3,1.9,0.1,0.6,1.3,0.2,0,0.5,1.1,0.7,0,1,1.2,50.5,0.1,2.5,0,1.17,1.83,0.06,18,0.07
370,175,Steve Mandanda,Rennes,39, GK,34,3016,0,1,1,0,0.0,71.9,0.2,2,6.7,0,0,0.1,0,0.4,0.1,0,0,0,0,0.1,0,0,0.1,30.8,0,6.4,0,,,,,
371,176,Marco Bizot,Brest,33, GK,37,3330,0,0,4,0,0.0,68.2,0.1,3,6.7,0,0,0,0,1,0,0,0,0,0,0.1,0,0,0,25.2,0,6.2,0,,,,,
372,177,Zakaria Aboukhlal,Toulouse,24, AM(LR),28(9),2480,10,5,4,0,2.2,76.7,0.3,3,6.7,0.9,0.6,1.1,0,0.5,0.8,0,0,0.6,1.1,1.2,0.5,1,2.2,19.5,0.1,0.2,0,12.99,-2.99,0.47,83,0.16
373,178,Farès Chaïbi,Toulouse,21," AM(CL),FW",24(12),2345,5,5,2,0,1.8,76.5,0.9,0,6.7,0.9,0.5,0.9,0,0.8,0.9,0.1,0,0.8,0.3,0.6,0.2,0.7,1.5,26.1,0.3,1.2,0.1,5.85,-0.85,0.22,63,0.09
374,179,Jean-Charles Castelletto,Nantes,29, D(CR),30(2),2569,0,0,3,0,0.3,82.8,2.4,0,6.69,1.3,1.8,0.9,0.2,2.7,0.4,0.7,0,0.2,0.3,0.6,0,0.2,0.6,41.4,0.1,2.2,0,0.56,-0.56,0.02,9,0.06
375,180,Aaron Ramsey,Nice,33, M(CLR),18(9),1588,1,1,3,0,0.8,87.8,0.2,1,6.69,1.7,0.6,0.9,0,0.6,0.9,0.1,0,1,0.5,0.7,0.1,1.2,0.9,37.7,0.6,2.5,0.1,2.94,-1.94,0.17,22,0.13
376,181,Tiago Djaló,Lille,24, D(CLR),24(1),2022,2,0,7,0,0.6,93.1,1.1,1,6.69,1.2,0.9,0.8,0.4,2.1,0.3,0.4,1,0.1,0.2,0.7,0,0.3,0.2,62.9,0,2.6,0,1.9,0.1,0.08,15,0.13
377,182,Gédéon Kalulu,Lorient,26," D(R),M(R)",28(1),2442,0,4,6,0,0.3,82.0,1.0,1,6.69,2.2,1,1,0.2,2.4,0.6,0.1,0,0.8,0.7,0.6,0.1,0.6,1.1,40.2,0.2,1.9,0,0.47,-0.47,0.02,10,0.05
378,183,Han-Noah Massengo,Auxerre,22, M(C),13(1),1119,0,0,3,0,0.9,86.0,0.4,0,6.69,1.9,1,1.1,0,0.4,0.6,0.2,0,0.8,1.2,1.6,0.1,0.6,1.4,31.7,0.1,1.1,0.1,1.01,-1.01,0.08,13,0.08
379,184,Nuno da Costa,Auxerre,33," AM(CLR),FW",23(10),2017,5,4,3,1,1.2,69.9,1.4,3,6.69,1.4,0.6,1.1,0,0.4,1.1,0,0,0.8,1.4,1.7,0.2,1.2,2.8,11.1,0.2,0.6,0.1,3.99,1.01,0.18,39,0.1
380,185,Anthony Lopes,Lyon,33, GK,32,2817,0,0,2,1,0.0,74.3,0.1,0,6.69,0,0.1,0.1,0,0.6,0.1,0,0,0,0,0.2,0,0,0,27.7,0,4.8,0,,,,,
381,186,Andy Delort,Nice,32," AM(R),FW",9(5),781,6,1,0,0,1.9,64.8,2.0,0,6.68,0.1,0.1,0.6,0,0.5,0.1,0,0,0.8,0.3,0.6,0.5,0.6,1.6,15.2,0.1,0.7,0,4.77,1.23,0.55,26,0.18
