,Unnamed: 0,player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Was_dribble,Blocks,OwnGoal,key_pass_per_game,dribble_won_per_game,foul_given_game,offside_given_per_game,dispossessed_per_game,turnover_per_game,average_per_pass,corsses_per_game,longpass_per_game,through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot
226,226,Gaetan Perrin,,27, AM(CL),15(22),1388,3,1,1,0,0.7,75.7,0.4,1,6.47,0.5,0.3,0.5,0,0.2,0.6,0,0,0.7,1.6,0.6,0.1,1.1,1.3,10.8,0.3,0.7,0,2.8,0.2,0.18,27,0.1
227,227,Abdu Conté,,26," D(CL),M(L)",15(4),1317,1,2,1,0,0.2,79.8,0.8,0,6.46,1.3,0.3,0.6,0.5,1.1,0.5,0.3,0,0.7,0.1,0.6,0.2,0.3,0.5,30.9,0.5,1.4,0.1,0.74,0.26,0.05,4,0.18
228,228,Ibrahima Koné,,24, FW,15(22),1569,7,1,3,0,0.8,66.9,1.5,0,6.46,0.6,0.1,0.8,0,0.5,0.2,0,0,0.4,0.4,0.6,0.4,0.7,1.8,9.6,0,0.1,0,5.64,1.36,0.32,31,0.18
229,229,Carlos Soler,,27, M(CLR),14(12),1188,3,2,0,0,0.4,87.4,0.0,1,6.46,0.8,0.2,0.7,0,0.2,0.3,0.2,0,0.5,0.2,0.5,0,0.5,0.8,23.5,0.2,0.5,0.1,1.39,1.61,0.11,10,0.14
230,230,Hugo Magnetti,,25, DMC,19(13),1688,1,2,2,0,0.5,84.8,0.2,0,6.46,1.3,0.8,0.5,0,0.4,1.3,0,0,0.4,0.7,0.8,0,0.5,0.7,22.8,0.2,1.6,0,0.77,0.23,0.04,17,0.05
231,231,Stéphane Diarra,,25, AM(R),14(14),1070,2,0,1,0,0.7,75.2,0.2,1,6.46,0.9,0.8,0.3,0,0.3,0.6,0,0,0.4,0.9,0.8,0.1,0.5,1.1,10.8,0.1,0.1,0,2.24,-0.24,0.19,20,0.11
232,232,Mathias Pereira Lage,,27, M(CLR),16(8),1272,2,1,2,0,0.9,71.3,0.9,0,6.45,0.8,0.6,1,0,0.5,0.8,0,0,0.6,0.4,1.1,0,0.8,1,14.5,0.3,0.7,0,1.62,0.38,0.11,21,0.08
233,233,Jim Allevinah,,29, M(CLR),25(11),2248,1,1,2,0,0.8,82.4,0.3,0,6.45,1.1,0.7,0.6,0.1,0.5,1.2,0.1,0,0.5,0.9,1.5,0,1.1,1.3,20.3,0.3,0.3,0,2.64,-1.64,0.11,30,0.09
234,234,Wesley Saïd,,29," AM(CLR),FW",6(15),638,5,0,2,0,1.3,81.7,0.2,0,6.45,0.2,0,1,0,0.1,0.2,0,0,0.3,0.8,0,0,0.3,0.9,8.9,0,0.4,0,4.08,0.92,0.58,27,0.15
235,235,Léo Leroy,,24, DMC,14(13),1189,0,0,7,0,0.7,76.2,0.9,0,6.45,2,0.5,1.4,0,0.3,1,0.1,0,0.4,0.4,0.7,0,0.5,1,18.7,0.1,1,0,1.23,-1.23,0.09,18,0.07
