player_name,team_name,Total_Clearances
Cheick Oumar Konaté,Clermont Foot,0.9
Dénys Bain,Auxerre,2
Rhys Healey,Toulouse,0
Bradley Locko,Reims,1.1
José Fonte,Lille,3.5
Yan Valery,Angers,2.6
Elbasan Rashani,Clermont Foot,0.5
Ludovic Ajorque,Strasbourg,0.5
Loïc Badé,Rennes,3
Issa Kaboré,Marseille,0.9
Yahia Fofana,Angers,0.6
Ignatius Ganago,Nantes,0.4
Mounaïm El Idrissy,AC Ajaccio,0.6
Alexis Claude-Maurice,Lens,0.1
Andreaw Gravillon,Reims,2.5
Mathias Autret,Auxerre,0.4
Yusuf Yazici,Lille,0.3
Bingourou Kamara,Montpellier,0.6
Muhammed Cham,Clermont Foot,0.1
Jordan Ferri,Montpellier,0.6
Renaud Ripart,Troyes,0.2
Moses Simon,Nantes,0
Thomas Delaine,Strasbourg,0.5
Leandro Paredes,Paris Saint-Germain,0
Maxime Gonalons,Clermont Foot,0.3
Faouzi Ghoulam,Angers,1.7
Jean-Kévin Duverne,Brest,1.7
Ross Barkley,Nice,0.2
Nicolas Cozza,Montpellier,2
Stephy Mavididi,Montpellier,0.4
Jean-Louis Leca,Lens,2
Amine Harit,Marseille,0.5
Henrique,Lyon,0.9
Rémy Riou,Lyon,0.4
Edan Diop,Monaco,0
David Pereira da Costa,Lens,0.1
Maxime Esteve,Montpellier,3.7
Timothy Weah,Lille,0.5
Gabriel Gudmundsson,Lille,0.9
Mohamed Youssouf,AC Ajaccio,2.1
Igor Silva,Lorient,2.1
Noah Fadiga,Brest,0.7
Falaye Sacko,Montpellier,1.9
Dimitri Liénard,Strasbourg,0.8
Florent Mollet,Nantes,0.5
Antoine Mendy,Nice,0.8
Pedro Chirivella,Nantes,0.2
Akim Zedadka,Auxerre,2
Rayan Raveloson,Auxerre,1.9
Pape Gueye,Marseille,0.1
Ronaël Pierre-Gabriel,Strasbourg,1.5
Kamory Doumbia,Reims,0.1
Haris Belkebla,Brest,0.4
Evann Guessand,Nantes,0.2
