player_name,team_name,Total_Interception
Mehdi Zeffane,Clermont Foot,1.2
Stéphane Diarra,Lorient,0.8
Mathias Pereira Lage,Brest,0.6
Jim Allevinah,Clermont Foot,0.7
Wesley Saïd,Lens,0
Léo Leroy,Montpellier,0.5
Achraf Dari,Brest,1.1
Kays Ruiz-Atil,Auxerre,3
Yasser Larouci,Troyes,0.9
Warren Kamanzi,Toulouse,0.7
Myziane Maolida,Reims,0.2
Leny Yoro,Lille,1.4
Fernand Mayembo,AC Ajaccio,1
Colin Dagba,Strasbourg,0.8
Bradley Locko,Brest,0.3
Takumi Minamino,Monaco,0.3
Eduard Sobol,Strasbourg,0.5
Rudy Kohon,Troyes,1
Bevic Moussiti-Oko,AC Ajaccio,0.1
Jean-Victor Makengo,Lorient,0.7
Gerzino Nyamsi,Strasbourg,0.5
Renato Sanches,Paris Saint-Germain,0.4
Jean-Eudes Aholou,Strasbourg,0.8
Yoann Salmier,Troyes,1.2
Mattia Viti,Nice,0.9
Wilson Odobert,Troyes,0.5
Jere Uronen,Brest,1.2
Rubén Blanco,Marseille,0
Kevin Volland,Monaco,0.1
Dion Lopy,Reims,0.8
Jodel Dossou,Clermont Foot,0.1
Darlin Yongwa,Lorient,0.4
Houssem Aouar,Lyon,0.5
Jean-Claude Billong,Clermont Foot,1
Miha Blazic,Angers,0.9
Logan Costa,Toulouse,0.7
Samuel Moutoussamy,Nantes,0.7
Calvin Stengs,Nice,0
Adil Rami,Troyes,1.3
Ibrahima Sissoko,Strasbourg,0.4
Cédric Bakambu,Marseille,0
Ibrahim Diakité,Reims,1.7
Youcef Belaïli,Brest,0.2
Soungoutou Magassa,Monaco,0.5
Paul Bernardoni,Angers,0
Julian Jeanvier,Auxerre,1.2
Jeff Reine-Adélaïde,Lyon,0.4
Lassine Sinayoko,Auxerre,0.5
Pablo Rosario,Nice,0.7
Adrien Thomasson,Strasbourg,0.2
Julien Ponceau,Lorient,0.5
Souleyman Doumbia,Angers,1.1
Cyrille Bayala,AC Ajaccio,0.8
Akim Zedadka,Lille,0.3
Arbër Zeneli,Reims,0.1
Billal Brahimi,Nice,0.2
Oumar Gonzalez,AC Ajaccio,1.7
Vincent Sierro,Toulouse,0.3
Sacha Delaye,Montpellier,0
Siriki Dembélé,Auxerre,0.1
Moussa Sissoko,Nantes,0.5
Thierno Baldé,Troyes,0.7
Alexandre Coeff,Auxerre,1.1
Matis Carvalho,Montpellier,0.5
Yoann Cathline,Lorient,0.3
Ibrahima Niané,Angers,0.1
Abdallah Sima,Angers,0.1
Christophe Hérelle,Brest,1.3
Brayann Pereira,Auxerre,1
Birger Meling,Rennes,0.9
Wout Faes,Reims,2.3
Bamba Dieng,Marseille,0
Adrien Hunou,Angers,0.2
Cédric Hountondji,Angers,1.6
Vítinha,Marseille,0.1
Eric Bailly,Marseille,0.7
Tanguy Zoukrou,Troyes,0.3
Pierrick Capelle,Angers,0.6
Romain Faivre,Lyon,0
Franci Bouebari,Strasbourg,1
Ismaël Diallo,AC Ajaccio,1.1
Batista Mendy,Angers,0.6
Amine Salama,Angers,0.4
Mitchell van Bergen,Reims,0.2
Amine Gouiri,Nice,0
Mickaël Alphonse,AC Ajaccio,1.3
Moussa Diarra,Toulouse,0.8
Denis Genreau,Toulouse,0.4
Rémy Descamps,Nantes,0
Jeff Reine-Adélaïde,Troyes,0.3
João Victor,Nantes,1.2
Komnen Andric,Clermont Foot,0.2
Ruben Aguilar,Monaco,0.9
Maxime Busi,Reims,0.7
Khalil Fayad,Montpellier,0.4
Dennis Appiah,Nantes,0.7
Bonke Innocent,Lorient,1
Erik Palmer-Brown,Troyes,0.7
Amin Sarr,Lyon,0
