player_name,team_name,Total_Goals,SixYardBox_Goals,PenaltyArea_Goals,OutOfBox_Goals
Presnel Kimpembe,Paris Saint-Germain,0,0,0,0
Isaak Touré,Auxerre,0.1,0,0.1,0
Jens Cajuste,Reims,0.1,0,0.1,0
Thiago Mendes,Lyon,0,0,0,0
Saël Kumbedi,Lyon,0,0,0,0
Mateusz Wieteska,Clermont Foot,0,0,0,0
Thomas Foket,Reims,0,0,0,0
Juan Bernat,Paris Saint-Germain,0,0,0,0
Gauthier Gallon,Troyes,0,0,0,0
Thibault De Smet,Reims,0,0,0,0
Kevin Gameiro,Strasbourg,0.3,0.1,0.2,0
Yvon Mvogo,Lorient,0,0,0,0
Jackson Porozo,Troyes,0.1,0,0,0
Habib Diarra,Strasbourg,0.1,0,0,0
Birama Touré,Auxerre,0.1,0,0,0.1
Lilian Raolisoa,Angers,0.1,0,0.1,0
Lucas Perrin,Strasbourg,0,0,0,0
Hugo Ekitike,Paris Saint-Germain,0.1,0,0.1,0
Jean Lucas,Monaco,0,0,0,0
Cheick Oumar Konaté,Clermont Foot,0,0,0,0
Dénys Bain,Auxerre,0,0,0,0
Rhys Healey,Toulouse,0.5,0,0,0.5
Bradley Locko,Reims,0,0,0,0
José Fonte,Lille,0,0,0,0
Yan Valery,Angers,0,0,0,0
Elbasan Rashani,Clermont Foot,0.1,0.1,0,0
Ludovic Ajorque,Strasbourg,0.1,0,0.1,0
Loïc Badé,Rennes,0,0,0,0
Issa Kaboré,Marseille,0,0,0,0
Yahia Fofana,Angers,0,0,0,0
Ignatius Ganago,Nantes,0.2,0.1,0.1,0
Mounaïm El Idrissy,AC Ajaccio,0.2,0.1,0.1,0
Alexis Claude-Maurice,Lens,0.3,0,0.3,0
Andreaw Gravillon,Reims,0,0,0,0
Mathias Autret,Auxerre,0.1,0,0.1,0
Yusuf Yazici,Lille,0.3,0,0,0.3
Bingourou Kamara,Montpellier,0,0,0,0
Muhammed Cham,Clermont Foot,0.2,0,0.1,0
Jordan Ferri,Montpellier,0,0,0,0
Renaud Ripart,Troyes,0.2,0,0.1,0
Moses Simon,Nantes,0.1,0,0.1,0.1
Thomas Delaine,Strasbourg,0,0,0,0
Leandro Paredes,Paris Saint-Germain,0,0,0,0
Maxime Gonalons,Clermont Foot,0,0,0,0
Faouzi Ghoulam,Angers,0,0,0,0
Jean-Kévin Duverne,Brest,0,0,0,0
Ross Barkley,Nice,0.1,0,0.1,0
Nicolas Cozza,Montpellier,0.1,0.1,0,0
Stephy Mavididi,Montpellier,0.2,0,0.1,0
Jean-Louis Leca,Lens,0,0,0,0
Amine Harit,Marseille,0,0,0,0
Henrique,Lyon,0,0,0,0
Rémy Riou,Lyon,0,0,0,0
Edan Diop,Monaco,0.1,0,0.1,0
David Pereira da Costa,Lens,0,0,0,0
Maxime Esteve,Montpellier,0,0,0,0
Timothy Weah,Lille,0,0,0,0
Gabriel Gudmundsson,Lille,0,0,0,0
Mohamed Youssouf,AC Ajaccio,0,0,0,0
Igor Silva,Lorient,0,0,0,0
Noah Fadiga,Brest,0,0,0,0
Falaye Sacko,Montpellier,0,0,0,0
Dimitri Liénard,Strasbourg,0,0,0,0
Florent Mollet,Nantes,0.1,0,0.1,0
Antoine Mendy,Nice,0,0,0,0
Pedro Chirivella,Nantes,0,0,0,0
Akim Zedadka,Auxerre,0,0,0,0
Rayan Raveloson,Auxerre,0.1,0,0,0.1
Pape Gueye,Marseille,0.1,0,0.1,0
Ronaël Pierre-Gabriel,Strasbourg,0,0,0,0
Kamory Doumbia,Reims,0.1,0,0,0
Haris Belkebla,Brest,0.1,0,0,0
Evann Guessand,Nantes,0.1,0,0.1,0
Brecht Dejaegere,Toulouse,0.1,0,0.1,0
Jean Onana,Lens,0,0,0,0
Kenji-Van Boto,Auxerre,0,0,0,0
Yohann Magnin,Clermont Foot,0,0,0,0
Johann Lepenant,Lyon,0,0,0,0
Mickaël Barreto,AC Ajaccio,0.1,0,0.1,0
Vincent Marchetti,AC Ajaccio,0,0,0,0
