player_name,team_name,Total_Aerial,Won,Lost
Alexandre Coeff,Auxerre,1.9,0.9,1
Matis Carvalho,Montpellier,1,0.5,0.5
Yoann Cathline,Lorient,0.4,0.1,0.3
Ibrahima Niané,Angers,4.6,1.4,3.1
Abdallah Sima,Angers,3.1,1.3,1.9
Christophe Hérelle,Brest,1.3,0.7,0.6
Brayann Pereira,Auxerre,1.5,1.5,0
Birger Meling,Rennes,1.1,0.5,0.6
Wout Faes,Reims,3.3,1.3,2
Bamba Dieng,Marseille,1.9,0.9,1
Adrien Hunou,Angers,1.4,0.6,0.9
Cédric Hountondji,Angers,2.6,1.8,0.9
Vítinha,Marseille,1.3,0.4,0.9
Eric Bailly,Marseille,1.8,0.9,0.9
Tanguy Zoukrou,Troyes,1.8,0.9,0.9
Pierrick Capelle,Angers,1.4,0.5,0.9
Romain Faivre,Lyon,0.3,0.2,0.1
Franci Bouebari,Strasbourg,1,0.5,0.5
Ismaël Diallo,AC Ajaccio,1.8,0.9,0.9
Batista Mendy,Angers,1.1,0.8,0.4
Amine Salama,Angers,1.1,0.3,0.8
Mitchell van Bergen,Reims,0.5,0.2,0.3
Amine Gouiri,Nice,1.7,1,0.7
Mickaël Alphonse,AC Ajaccio,2.3,1.2,1.1
Moussa Diarra,Toulouse,1.3,0.7,0.6
Denis Genreau,Toulouse,1.1,0.3,0.8
Rémy Descamps,Nantes,0,0,0
Jeff Reine-Adélaïde,Troyes,1.2,0.5,0.7
João Victor,Nantes,1.3,0.8,0.5
Komnen Andric,Clermont Foot,3.1,1.3,1.7
Ruben Aguilar,Monaco,1.3,0.6,0.7
Maxime Busi,Reims,1.4,0.7,0.8
Khalil Fayad,Montpellier,0.7,0.1,0.6
Dennis Appiah,Nantes,2.1,1.1,1.1
Bonke Innocent,Lorient,1.2,0.4,0.8
Erik Palmer-Brown,Troyes,2.3,1.5,0.8
Amin Sarr,Lyon,2.2,0.8,1.4
Timothée Pembélé,Paris Saint-Germain,1.2,0.6,0.6
Florent Ogier,Clermont Foot,2.1,1.1,1
Nordine Kandil,Strasbourg,0.4,0.4,0
Jérôme Boateng,Lyon,1,0.9,0.1
Gauthier Hein,Auxerre,1,0.1,0.9
Azzedine Ounahi,Marseille,0.7,0,0.7
Arnaud Souquet,Montpellier,1.6,0.8,0.8
Thomas Mangani,AC Ajaccio,1.7,0.8,0.9
Moussa Dembélé,Lyon,2.2,1.3,1
Benoît Costil,Auxerre,0.1,0.1,0
Alexis Beka Beka,Nice,0.5,0.2,0.3
Enzo Tchato,Montpellier,1.6,0.8,0.8
Marcus Coco,Nantes,1.9,0.7,1.3
Malang Sarr,Monaco,1.9,1.2,0.7
Romain Hamouma,AC Ajaccio,1.6,0.7,0.9
Papa Ndiaga Yade,Troyes,0.9,0.4,0.5
Farid El Melali,Angers,0.7,0.2,0.5
M'Baye Niang,Auxerre,4.6,2.3,2.2
Warren Zaïre-Emery,Paris Saint-Germain,0.6,0.1,0.5
Gelson Martins,Monaco,0.8,0.2,0.6
Mamadou Sakho,Montpellier,2.7,1.5,1.2
Julien Le Cardinal,Lens,2,1.1,0.9
Clément Vidal,AC Ajaccio,3,2,1
Ibrahim Salah,Rennes,0.5,0.2,0.3
Myron Boadu,Monaco,1.7,0.9,0.8
Youssouf M'Changama,Auxerre,0.7,0.5,0.2
Mohamed Bayo,Lille,1.1,0.5,0.6
Eliot Matazo,Monaco,1.2,0.4,0.8
Ayoub Amraoui,Nice,0.1,0,0.1
Maghnes Akliouche,Monaco,0.7,0.2,0.5
Steven Fortès,Lens,2,1,1
Andy Delort,Nantes,2.8,1,1.8
Jérémie Bela,Clermont Foot,0.1,0.1,0
Ismail Jakobs,Monaco,2.4,1.6,0.8
Yanis Cimignani,AC Ajaccio,1.5,0,1.5
Fallou Fall,Reims,0,0,0
Kévin Danois,Auxerre,0,0,0
Carlos Baleba,Lille,0.8,0.4,0.4
Sada Thioub,Angers,0.7,0.2,0.5
Andreas Bruus,Troyes,0.7,0.1,0.6
Rares Ilie,Nice,0.8,0.5,0.3
Kevin Spadanuda,AC Ajaccio,1.1,0.2,0.9
Sébastien Corchia,Nantes,1,0.5,0.5
Benjamin Leroy,AC Ajaccio,0.1,0.1,0
Marcin Bulka,Nice,0,0,0
Siriné Doucouré,Lorient,0.9,0.4,0.5
Ismaël Boura,Lens,0.3,0.1,0.2
Pablo Sarabia,Paris Saint-Germain,0.1,0,0.1
Alexis Claude-Maurice,Nice,1,1,0
Ibrahim Amadou,Angers,1.6,0.9,0.7
Oliver Zandén,Toulouse,0.8,0.4,0.4
Souleymane Cissé,Clermont Foot,1.5,0.5,1
